"documenttype","documentno","docdate","oderdate","duedate","postingdate","customercode","customername","yourreference","externaldocumentno","locationcode","paymentterms","postinggroup","currencycode","salespersoncode","printed","released","status","userid","period","entryno","vatinclusive","QtyDiscount","journal","shipping","packagescharge","picture"
"19","PL2725","2/22/2023 12:00:00 AM","","","","Dr510772","MPEKE HARDWARE","SO.3288","","          ","","no vat              ","KES       ","Sr1       ","","","1","Lucybriate          ","78","1576546","False","","","","",""
"19","PL2726","2/23/2023 12:00:00 AM","","","","Dr510934","BOLT STORES AND MACHINERY","SO.3289","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576738","False","","","","",""
"19","PL2727","2/23/2023 12:00:00 AM","","","","Dr510832","SUMP GUARD CENTRE LTD","SO.3290","","          ","","General             ","KES       ","Sr5       ","","","1","Sarah               ","78","1576624","False","","","","",""
"19","PL2728","2/23/2023 12:00:00 AM","","","","Dr511052","BENJAMIN KAMANGA","SO.3292","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576819","False","","","","",""
"19","PL2729","2/23/2023 12:00:00 AM","","","","Dr511052","BENJAMIN KAMANGA","SO.3293","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576810","False","","","","",""
"19","PL2730","2/23/2023 12:00:00 AM","","","","Dr510915","DANBRIDGE","SO.3295","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576790","False","","","","",""
"19","PL2731","2/23/2023 12:00:00 AM","","","","Dr511052","BENJAMIN KAMANGA","SO.3296","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576807","False","","","","",""
"19","PL2732","2/24/2023 12:00:00 AM","","","","Dr511054","KAMWAKO HARDWARE AND TIMBER","SO.3297","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576841","False","","","","",""
"19","PL2733","2/21/2023 12:00:00 AM","","","","Dr593","P. J PETROLEUM EQUIPMENT LTD","SO.3298","","          ","","General             ","KES       ","Sr1       ","","","1","Lucybriate          ","78","1576243","False","","","","",""
"19","PL2734","2/22/2023 12:00:00 AM","","","","Dr510771","NEW NILE IMPEX HANDWARE LTD","SO.3300","","          ","","no vat              ","KES       ","Sr1       ","","","1","Lucybriate          ","78","1576508","False","","","","",""
"19","PL2735","2/24/2023 12:00:00 AM","","","","Dr511057","GALLANT HARDWARE","SO.3301","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576878","False","","","","",""
"19","PL2736","2/22/2023 12:00:00 AM","","","","Dr511023","SAMUEL KIARIE","SO.3302","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576575","False","","","","",""
"19","PL2737","2/21/2023 12:00:00 AM","","","","Dr593","P. J PETROLEUM EQUIPMENT LTD","SO.3299","","          ","","General             ","KES       ","Sr1       ","","","1","Lucybriate          ","78","1576249","False","","","","",""
"19","PL2738","2/24/2023 12:00:00 AM","","","","Dr510908","NGESA METAL FABRICATOR","SO.3303","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576871","False","","","","",""
"19","PL2739","2/21/2023 12:00:00 AM","","","","Dr510976","MADINI SPRINGS LIMITED","SO.3305","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576471","False","","","","",""
"19","PL2740","2/21/2023 12:00:00 AM","","","","Dr510976","MADINI SPRINGS LIMITED","SO.3304","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576467","False","","","","",""
"19","PL2742","2/24/2023 12:00:00 AM","","","","Dr510823","GLORY HARDWARE","SO.3309","","          ","","General             ","KES       ","Sr7       ","","","1","Mary                ","78","1576884","False","","","","",""
"19","PL2746","2/22/2023 12:00:00 AM","","","","Dr511023","SAMUEL KIARIE","SO.3313","","          ","","General             ","KES       ","Sr1       ","","","1","Sarah               ","78","1576571","False","","","","",""
"19","PL2747","2/23/2023 12:00:00 AM","","","","Dr511034","MOFE AGENCIES LIMITED","SO.3314","","          ","","General             ","KES       ","          ","","","1","Sarah               ","78","1576663","False","","","","",""
"19","PL2748","2/23/2023 12:00:00 AM","","","","Dr511048","ERNEST AND DAVE SUPPLIES AND SERVICES COMPANY (5)","SO.3315","","          ","","General             ","KES       ","Sr7       ","","","1","Sarah               ","78","1576774","False","","","","",""
