"itemcode","date","invoiceno","journalno","doctype","receiptno","amount","receiptjournal"
"Dr533               ","10/1/2016 12:00:00 AM","INV2261             ","J.16519             ","10","RC1627              ","-168055.93","J.18899             "
"Dr533               ","5/16/2018 12:00:00 AM","INV285              ","Jv4010              ","10","Rct395              ","-75000.00","Jv7948              "
"Dr533               ","7/24/2018 12:00:00 AM","INV542              ","Jv8115              ","10","Rct470              ","-8391.50","Jv9049              "
"Dr533               ","12/9/2019 12:00:00 AM","INV614              ","Jv9025              ","10","Rct827              ","-21473.94","Jv16180             "
"Dr533               ","8/29/2021 12:00:00 AM","INV1069             ","Jv17364             ","10","Rct2033             ","-84999.99","Jv35682             "
"Dr535               ","11/22/2014 12:00:00 AM","INV1404             ","J.10155             ","10","RC956               ","-135800.00","J.11660             "
"Dr535               ","10/5/2016 12:00:00 AM","INV2354             ","J.17282             ","10","INV2533             ","-30160.00","J.18929             "
"Dr538               ","10/27/2014 12:00:00 AM","INV1379             ","J.10058             ","10","RC920               ","-222720.00","J.11141             "
"Dr538               ","4/4/2016 12:00:00 AM","INV2185             ","J.15969             ","10","RC1437              ","-197200.00","J.16512             "
"Dr542               ","1/21/2015 12:00:00 AM","                    ","J.15210             ","0","RC999               ","-0.62","J.12059             "
"Dr545               ","5/29/2014 12:00:00 AM","INV1285             ","J.9494              ","10","RC860               ","-477920.00","J.10775             "
"Dr547               ","8/30/2016 12:00:00 AM","INV1951             ","J.14667             ","10","RC1608              ","-75235.37","J.18596             "
"Dr547               ","7/10/2018 12:00:00 AM","INV596              ","Jv8805              ","10","Rct463              ","-145000.34","Jv8881              "
"Dr547               ","4/24/2020 12:00:00 AM","INV1002             ","Jv15783             ","10","Rct869              ","-243.66","Jv17312             "
"Dr551               ","8/16/2014 12:00:00 AM","INV1424             ","J.10289             ","10","RC826               ","-33000.00","J.10290             "
"Dr561               ","10/11/2019 12:00:00 AM","INV943              ","Jv14751             ","10","Rct770              ","-32000.00","Jv14756             "
"Dr568               ","4/17/2019 12:00:00 AM","INV786              ","Jv11919             ","10","Rvs48               ","-77500.00","Jv12056             "
"Dr576               ","11/23/2015 12:00:00 AM","INV2052             ","J.15247             ","10","RC1327              ","-459870.00","J.15248             "
"Dr584               ","10/18/2019 12:00:00 AM","INV920              ","Jv14282             ","10","Rct790              ","-672000.00","Jv15424             "
"Dr591               ","12/22/2016 12:00:00 AM","INV131              ","Jv1319              ","10","INV131              ","-15080.00","Jv1349              "
"Dr593               ","2/14/2022 12:00:00 AM","INV.2233            ","Jv33533             ","10","Rct1889             ","-21454.00","Jv33699             "
"Dr594               ","4/22/2016 12:00:00 AM","INV2229             ","J.16242             ","10","RC1455              ","-39643.91","J.16718             "
"Dr605               ","9/4/2018 12:00:00 AM","INV653              ","Jv9526              ","10","Rct506              ","-269294.94","Jv9547              "
"Dr605               ","5/4/2021 12:00:00 AM","INV653              ","Jv9526              ","10","Rct1237             ","-190705.06","Jv24252             "
"Dr605               ","5/4/2021 12:00:00 AM","INV1589             ","Jv24238             ","10","Rct1237             ","-88294.94","Jv24252             "
"Dr605               ","3/1/2022 12:00:00 AM","INV1589             ","Jv24238             ","10","Rct1947             ","-90000.00","Jv34202             "
"Dr591               ","12/22/2016 12:00:00 AM","INV132              ","Jv1326              ","10","Rct72               ","-15080.00","Jv1350              "
"Dr591               ","2/16/2017 12:00:00 AM","INV186              ","Jv2151              ","10","Rct122              ","-15080.00","Jv2152              "
"Dr591               ","3/28/2017 12:00:00 AM","INV234              ","Jv2835              ","10","Rct150              ","-15080.00","Jv2839              "
"Dr592               ","8/18/2015 12:00:00 AM","INV1963             ","J.14730             ","10","RC1261              ","-62999.97","J.14731             "
"Dr593               ","8/27/2015 12:00:00 AM","INV1948             ","J.14654             ","10","INV1948             ","-18000.00","J.15623             "
"Dr593               ","1/13/2016 12:00:00 AM","INV1948             ","J.14654             ","10","RC1367              ","-37000.00","J.15705             "
"Dr593               ","1/13/2016 12:00:00 AM","INV2109             ","J.15598             ","10","RC1367              ","-55000.00","J.15705             "
"Dr593               ","2/25/2016 12:00:00 AM","INV2177             ","J.15949             ","10","RC1394              ","-55000.00","J.16100             "
"Dr593               ","7/20/2016 12:00:00 AM","INV2415             ","J.17730             ","10","RC1549              ","-55000.00","J.17731             "
"Dr593               ","9/2/2016 12:00:00 AM","INV2492             ","J.18392             ","10","RC1603              ","-104500.00","J.18395             "
"Dr593               ","11/29/2016 12:00:00 AM","INV95               ","Jv910               ","10","Rct52               ","-52499.28","Jv914               "
"Dr593               ","4/29/2017 12:00:00 AM","INV263              ","Jv3358              ","10","Rct177              ","-52000.00","Jv3359              "
