"Date","Documentno","Documenttype","Accountno","Grossamount","JournalNo","Dimension_One","Dimension_Two","Currency","Datewhenpaid"
"5/1/2019 12:00:00 AM","INV818              ","10","Dr510696            ","32000","Jv12209             ","          ","          ","KES","5/2/2019 12:00:00 AM"
"5/2/2019 12:00:00 AM","INV819              ","10","Dr360683            ","36000","Jv12212             ","          ","          ","KES","5/2/2019 12:00:00 AM"
"5/2/2019 12:00:00 AM","Rct656              ","12","Dr510696            ","-48000","Jv12213             ","","","KES",""
"5/3/2019 12:00:00 AM","INV820              ","10","Dr510696            ","48000","Jv12216             ","          ","          ","KES","5/3/2019 12:00:00 AM"
"5/3/2019 12:00:00 AM","Rct657              ","12","Dr510696            ","-80000","Jv12217             ","","","KES",""
"5/2/2019 12:00:00 AM","INV821              ","10","Dr510693            ","800000","Jv12220             ","          ","          ","KES","5/2/2019 12:00:00 AM"
"5/2/2019 12:00:00 AM","INV822              ","10","Dr510693            ","512000","Jv12223             ","          ","          ","KES","5/2/2019 12:00:00 AM"
"4/30/2019 12:00:00 AM","INV823              ","10","Dr510690            ","2241000","Jv12230             ","          ","          ","KES","5/7/2019 12:00:00 AM"
"5/4/2019 12:00:00 AM","INV824              ","10","Dr360683            ","72000","Jv12235             ","          ","          ","KES",""
"5/4/2019 12:00:00 AM","INV825              ","10","Dr518               ","69600","Jv12238             ","          ","          ","KES","9/10/2020 12:00:00 AM"
"5/7/2019 12:00:00 AM","INV826              ","10","Dr510696            ","48000","Jv12264             ","          ","          ","KES","5/7/2019 12:00:00 AM"
"5/7/2019 12:00:00 AM","Rct658              ","12","Dr510696            ","-48000","Jv12265             ","","","KES",""
"5/6/2019 12:00:00 AM","INV827              ","10","Dr510697            ","41500","Jv12269             ","          ","          ","KES","5/6/2019 12:00:00 AM"
"5/7/2019 12:00:00 AM","Rvs52               ","13","Dr510697            ","-41500","Jv12271             ","          ","          ","KES",""
"5/6/2019 12:00:00 AM","INV828              ","10","Dr510697            ","41500","Jv12275             ","          ","          ","KES","5/7/2019 12:00:00 AM"
"5/6/2019 12:00:00 AM","Rct659              ","12","Dr510697            ","-41500","Jv12276             ","","","KES",""
"5/7/2019 12:00:00 AM","INV829              ","10","Dr547               ","240000","Jv12282             ","          ","          ","KES","10/29/2019 12:00:00 AM"
"5/6/2019 12:00:00 AM","Rct660              ","12","Dr457               ","-877155","Jv12283             ","","","KES",""
"5/6/2019 12:00:00 AM","2142                ","0","Dr457               ","-47845","Jv12284             ","          ","          ","KES",""
"5/9/2019 12:00:00 AM","INV830              ","10","Dr510693            ","288000","Jv12302             ","          ","          ","KES","5/9/2019 12:00:00 AM"
"5/10/2019 12:00:00 AM","INV831              ","10","Dr510688            ","815000","Jv12312             ","          ","          ","KES","5/14/2019 12:00:00 AM"
"4/25/2019 12:00:00 AM","Rct662              ","12","Dr470683            ","-849470.75","Jv12313             ","","","KES",""
"5/2/2019 12:00:00 AM","Rct663              ","12","Dr470683            ","-849470.75","Jv12314             ","","","KES",""
"5/9/2019 12:00:00 AM","Rct664              ","12","Dr470683            ","-849470.75","Jv12315             ","","","KES",""
"4/16/2019 12:00:00 AM","Rct665              ","12","Dr510693            ","-4000000","Jv12318             ","","","KES",""
"5/13/2019 12:00:00 AM","INV832              ","10","Dr471               ","131660","Jv12331             ","          ","          ","KES","5/20/2019 12:00:00 AM"
"5/13/2019 12:00:00 AM","INV833              ","10","Dr471               ","72500","Jv12334             ","          ","          ","KES","5/20/2019 12:00:00 AM"
"5/13/2019 12:00:00 AM","INV834              ","10","Dr471               ","15660","Jv12340             ","          ","          ","KES","5/20/2019 12:00:00 AM"
"5/10/2019 12:00:00 AM","INV835              ","10","Dr170670            ","48000","Jv12346             ","          ","          ","KES","5/10/2019 12:00:00 AM"
