"date","stname","doctyp","batch","itemcode","invref","netamt","vat","amount","fulqty","loosqty","price","curr_rat","stockvalue","store","journal","curr_cod","period","del","factory","jobcard","len","wid","sman","pkey","BQitemcode","dimension","PartPerUnit"
"9/6/2021 12:00:00 AM","BITUSHIELD NO 5                                   ","19","","S.103               ","SO2302              ","25000.00","3448.28","25000.0000","0.0000","-100.0000","215.52","","","1         ","Jv27971             ","","61","","","PL1891    ","","","","1727743","","","1"
"9/6/2021 12:00:00 AM","SCRAP(Empty Drums)                                ","19","","S.122               ","SO2303              ","35000.00","0.00","35000.0000","0.0000","-100.0000","350.00","","","1         ","Jv27973             ","","61","","","PL1892    ","","","","1727744","","","1"
"9/6/2021 12:00:00 AM","BITUSHIELD NO 5                                   ","19","","S.103               ","SO2304              ","24000.00","3310.34","24000.0000","0.0000","-96.0000","215.52","","","1         ","Jv27976             ","","61","","","PL1893    ","","","","1727745","","","1"
"8/27/2021 12:00:00 AM","Diesel                                            ","30","1012823             ","S.113               ","LPO1380             ","309000.00","22888.89","309000.0000","0.0000","3000.0000","95.37","","","1         ","Jv27979             ","","61","","","GRN1046   ","","","","1727746","","","1"
"9/6/2021 12:00:00 AM","BITUSHIELD NO. 3                                  ","19","","S.60166             ","SO2305              ","21000.00","2896.55","21000.0000","0.0000","-80.0000","226.29","","","1         ","Jv27987             ","","61","","","PL1894    ","","","","1727747","","","1"
"8/31/2021 12:00:00 AM","Drum Empties                                      ","30","1012826             ","S.15                ","LPO1381             ","58800.00","0.00","58800.0000","0.0000","56.0000","1050.00","","","1         ","Jv27990             ","","61","","","GRN1047   ","","","","1727748","","","1"
"9/3/2021 12:00:00 AM","183 kgs Bitumen 80/100                            ","30","1012822             ","S.16                ","LPO1379             ","2069730.00","285480.00","2069730.0000","145.0000","0.0000","67.24","","","1         ","Jv27993             ","","61","","","GRN1048   ","","","","1727749","","","183"
"9/7/2021 12:00:00 AM","Black Bituminous Paint  PF4                       ","19","","S.35                ","SO2306              ","6000.00","827.59","6000.0000","0.0000","-20.0000","258.62","","","1         ","Jv28001             ","","61","","","PL1895    ","","","","1727750","","","1"
"9/7/2021 12:00:00 AM","SCRAP(Empty Drums)                                ","19","","S.122               ","SO2307              ","31500.00","0.00","31500.0000","0.0000","-90.0000","350.00","","","1         ","Jv28003             ","","61","","","PL1896    ","","","","1727751","","","1"
"9/7/2021 12:00:00 AM","BITUSHIELD NO. 3                                  ","19","","S.60166             ","SO2308              ","22750.00","3137.93","22750.0000","0.0000","-100.0000","196.12","","","1         ","Jv28006             ","","61","","","PL1897    ","","","","1727752","","","1"
