"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping","PriceInPricelist","Increase","PartPerUnit","modified","Qunatity_replaced","packagescharge"
"1576819","19","3/22/2022 12:00:00 AM","PL2365","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","1.00","","","3965.52","634.48","4600.00","","","0.00","1","0.00","S.90","16.00","False","","","3707","258.52","20","","",""
"1576820","10","3/22/2022 12:00:00 AM","INV.2348","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","1.00","","","3965.52","634.00","4600.00","","","","","0.00","S.90","16.00","False","","0","3707","258.52","20","","",""
"1576821","40","3/21/2022 12:00:00 AM","REQ785","","","S.16"," Deduct :Drumed Bitumen 80/100","Drums     ","-48.00","","","66.38","0.00","3186.24","","","0.00","48","0.00","1251.02","0.00","False","","","","","182","","",""
"1576822","40","3/21/2022 12:00:00 AM","REQ785","","","S.8"," ADD :Bitumen 80/100 BULK","kgs       ","8736.00","","","66.38","0.00","3186.24","","","0.00","48","0.00","1251.02","0.00","False","","","","","1","","",""
"1576823","40","3/21/2022 12:00:00 AM","REQ785","","","S.122               "," ADD :SCRAP(Empty Drums)","Units     ","48.00","","","66.38","0.00","3186.24","","","0.00","48","0.00","","0.00","False","","","","","1","","",""
"1576824","40","3/21/2022 12:00:00 AM","REQ786","","","S.16"," Deduct :Drumed Bitumen 80/100","Drums     ","-48.00","","","66.38","0.00","3186.24","","","0.00","48","0.00","1251.02","0.00","False","","","","","182","","",""
"1576825","40","3/21/2022 12:00:00 AM","REQ786","","","S.8"," ADD :Bitumen 80/100 BULK","kgs       ","8736.00","","","66.38","0.00","3186.24","","","0.00","48","0.00","1251.02","0.00","False","","","","","1","","",""
"1576826","40","3/21/2022 12:00:00 AM","REQ786","","","S.122               "," ADD :SCRAP(Empty Drums)","Units     ","48.00","","","66.38","0.00","3186.24","","","0.00","48","0.00","","0.00","False","","","","","1","","",""
"1576827","1","3/23/2022 12:00:00 AM","SO.2873","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","8.00","","8.00","15948.28","20413.79","147999.99","","","0.00","8","0.00","S.15","16.00","False","","","14000","1948.28","200","8","",""
"1576828","16","3/23/2022 12:00:00 AM","SL617","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","8.00","","","15948.28","20413.79","147999.99","","","0.00","8","0.00","S.15","16.00","False","","","14000","1948.28","200","","",""
"1576829","19","3/23/2022 12:00:00 AM","PL2366","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","8.00","","","15948.28","20413.79","147999.99","","","0.00","8","0.00","S.15","16.00","False","","","14000","1948.28","200","","",""
"1576830","10","3/23/2022 12:00:00 AM","INV.2349","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","8.00","","","15948.28","20414.00","148000.00","","","","","0.00","S.15","16.00","False","","0","14000","1948.28","200","","",""
