"date","details","cleared","flag","invref","acctfolio","allocat","amount","pamount","module","type","cash","del","curr_cod","curr_rat","id","i_n_t","period","journal","typ","sns","vatamt","vatc","pkey","systypes_1","ledger"
"1/27/2018 12:00:00 AM","MC-30 CutBack                                                                                       ","","I     ","INV451              ","Dr486               ","","2436","0","","","","","KES       ","","","I","17","Jv6646              ","r ","","336","","585839","10","General             "
"1/27/2018 12:00:00 AM","Receipt  Inv no.451                                                                                 ","","DR    ","Rct329              ","Dr486               ","","-2436","0","","","","","KES       ","","","R","17","Jv6647              ","_W","","0","","585840","12","02Ac00126           "
"1/27/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV452              ","Dr609               ","","16000","0","","","","","KES       ","","","I","17","Jv6650              ","r ","","2206.9","","585841","10","General             "
"1/27/2018 12:00:00 AM","Receipt  Inv no.452                                                                                 ","","DR    ","Rct330              ","Dr609               ","","-16000","0","","","","","KES       ","","","R","17","Jv6651              ","_W","","0","","585842","12","02Ac00126           "
"1/27/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV453              ","Dr423               ","","17400","0","","","","","KES       ","","","I","17","Jv6654              ","r ","","2400","","585843","10","General             "
"1/27/2018 12:00:00 AM","Receipt  inv453                                                                                     ","","DR    ","Rct331              ","Dr423               ","","-17400","0","","","","","KES       ","","","R","17","Jv6655              ","_W","","0","","585844","12","02Ac00126           "
"1/24/2018 12:00:00 AM","MC-30 CutBack                                                                                       ","","I     ","INV454              ","Dr190674            ","","712000","0","","","","","KES       ","","","I","17","Jv6658              ","r ","","98206.9","","585845","10","General             "
"1/29/2018 12:00:00 AM","MC-30 CutBack                                                                                       ","","I     ","INV455              ","Dr431               ","","38999.2","0","","","","","KES       ","","","I","17","Jv6662              ","r ","","5379.2","","585846","10","General             "
"1/29/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV455              ","Dr431               ","","59067.2","0","","","","","KES       ","","","I","17","Jv6662              ","r ","","8147.2","","585847","10","General             "
"1/29/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV456              ","Dr431               ","","44300.4","0","","","","","KES       ","","","I","17","Jv6665              ","r ","","6110.4","","585848","10","General             "
"1/29/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV457              ","Dr190676            ","","30000","0","","","","","KES       ","","","I","17","Jv6668              ","r ","","4137.93","","585849","10","General             "
"1/30/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV458              ","Dr423               ","","69600","0","","","","","KES       ","","","I","17","Jv6673              ","r ","","9600","","585850","10","General             "
"1/30/2018 12:00:00 AM","Receipt  Inv.458                                                                                    ","","DR    ","Rct332              ","Dr423               ","","-69600","0","","","","","KES       ","","","R","17","Jv6674              ","_W","","0","","585851","12","02Ac00126           "
"1/29/2018 12:00:00 AM","Receipt  CHQ no.0626                                                                                ","","DR    ","Rct334              ","Dr190674            ","","-712000","0","","","","","KES       ","","","R","17","Jv6676              ","_W","","0","","585852","12","02Ac00126           "
"1/31/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV459              ","Dr620               ","","15560","0","","","","","KES       ","","","I","17","Jv6679              ","r ","","2146.21","","585853","10","General             "
"1/31/2018 12:00:00 AM","Receipt  inv459                                                                                     ","","DR    ","Rct335              ","Dr620               ","","-15560","0","","","","","KES       ","","","R","17","Jv6680              ","_W","","0","","585854","12","02Ac00126           "
"1/5/2018 12:00:00 AM","Receipt  Inv.424                                                                                    ","","DR    ","Rct336              ","Dr584               ","","-49500","0","","","","","KES       ","","","R","17","Jv6681              ","_W","","0","","595852","12","02Ac00126           "
"2/1/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV460              ","Dr533               ","","81002.8","0","","","","","KES       ","","","I","18","Jv6694              ","r ","","11172.8","","595853","10","General             "
"1/30/2018 12:00:00 AM","Receipt  CHQ no.12562                                                                               ","","DR    ","Rct337              ","Dr533               ","","-138263.4","0","","","","","KES       ","","","R","17","Jv6695              ","_W","","0","","595854","12","02Ac00126           "
"2/1/2018 12:00:00 AM","Njuca VAT Withheld                                                                                  ","","DR    ","1305                ","Dr533               ","","-7541.64","","","J","","","KES       ","1","","J","18","Jv6696              ","J ","","","","595855","0","03Va00121           "
"1/15/2018 12:00:00 AM","Receipt  TRF                                                                                        ","","DR    ","Rct319              ","Dr471               ","","-445940","0","","","","","KES       ","","","R","17","Jv6360              ","_W","","0","","585807","12","02Ac00126           "
"2/2/2018 12:00:00 AM","Receipt  inv342                                                                                     ","","DR    ","Rct338              ","Dr639               ","","-354960","0","","","","","KES       ","","","R","18","Jv6703              ","_W","","0","","595856","12","02Ac00126           "
