"itemcode","StockIn","cost","StockOut","StockBalance","rowid","journal","GRN","PartPerUnit"
"S.7                 ","13000","36.34","13000","0","720450","Jv16535             ","B/No348             ",""
"S.7                 ","13000","36.76","13000","0","720451","Jv16536             ","B/No349             ",""
"S.160               ","180","841.055555555556","0","180","720452","Jv16654             ","LPO686              ",""
"S.15                ","100","1000","100","0","720453","Jv16656             ","LPO687              ",""
"S.136               ","100","184","0","100","720454","Jv16658             ","LPO688              ",""
"S.6                 ","12000","32.9","12000","0","720455","Jv16705             ","B/No350             ",""
"S.6                 ","11000","34.94","11000","0","720456","Jv16711             ","B/No351             ",""
"S.6                 ","11000","34.98","11000","0","720457","Jv16757             ","B/No352             ",""
"S.7                 ","12400","38.94","12400","0","720458","Jv16758             ","B/No353             ",""
"S.6                 ","12000","34.82","12000","0","720459","Jv16759             ","B/No354             ",""
"S.15                ","100","1000","100","0","720460","Jv16767             ","LPO689              ",""
"S.7                 ","10000","35.75","10000","0","720461","Jv16781             ","B/No355             ",""
"S.6                 ","3000","36.53","3000","0","720462","Jv16782             ","B/No356             ",""
"S.150               ","12000","44.4","12000","0","720463","Jv16784             ","B/No357             ",""
"S.15                ","50","1000","50","0","720464","Jv16792             ","LPO690              ",""
"S.15                ","100","1000","100","0","720465","Jv16880             ","LPO691              ",""
"S.17                ","240000","0.0447666666666667","0","240000","720466","Jv16882             ","LPO692              ",""
"S.136               ","100","120","0","100","720467","Jv16884             ","LPO693              ",""
"S.120               ","26535","63.5","0","26535","720468","Jv16902             ","LPO694              ",""
"S.120               ","9699","63.4972677595628","0","9699","720469","Jv16904             ","LPO695              ",""
"S.113               ","2000","94","0","2000","720470","Jv16911             ","LPO696              ",""
"S.6                 ","11000","30.24","11000","0","720471","Jv16913             ","B/No358             ",""
"S.150               ","5400","44.87","5400","0","720472","Jv16918             ","B/No359             ",""
"S.15                ","100","1000","100","0","720473","Jv16925             ","LPO697              ",""
"S.60165             ","41616","3.72331555093948","0","41616","720474","Jv16932             ","LPO698              ",""
"S.160               ","180","841.025080256822","0","180","720475","Jv16932             ","LPO698              ",""
"S.161               ","210","841.025080256822","0","210","720476","Jv16932             ","LPO698              ",""
"S.15                ","50","1000","50","0","720477","Jv16936             ","LPO699              ",""
"S.120               ","23790","63.5","0","23790","720478","Jv16938             ","LPO700              ",""
"S.6                 ","10800","34.61","10800","0","720479","Jv16940             ","B/No360             ",""
"S.162               ","26390","58","0","26390","720480","Jv16945             ","LPO682              ",""
"S.7                 ","14000","34.53","14000","0","720481","Jv16997             ","B/No361             ",""
"S.150               ","13300","48.03","13300","0","720482","Jv16998             ","B/No362             ",""
"S.7                 ","14000","36.11","14000","0","720483","Jv16999             ","B/No363             ",""
"S.6                 ","8600","30.72","8600","0","720484","Jv17012             ","B/No364             ",""
"S.7                 ","2000","41.16","2000","0","720485","Jv17013             ","B/No365             ",""
"S.6                 ","10000","36.3","10000","0","720486","Jv17014             ","B/No366             ",""
"S.15                ","126","1000","126","0","720487","Jv17025             ","LPO702              ",""
"S.15                ","50","1000","50","0","720488","Jv17029             ","LPO703              ",""
"S.15                ","30","1050","30","0","720489","Jv17030             ","LPO704              ",""
"S.15                ","30","1000","30","0","720490","Jv17032             ","LPO705              ",""
"S.120               ","26535","61","0","26535","720491","Jv17035             ","LPO706              ",""
"S.17                ","6000","1.99066666666667","0","6000","720492","Jv17037             ","LPO707              ",""
"S.120               ","6588","68","0","6588","720493","Jv17051             ","LPO708              ",""
"S.10                ","4000","72.5","0","4000","720494","Jv17055             ","LPO709              ",""
"S.160               ","180","826.5","0","180","720495","Jv17068             ","LPO711              ",""
"S.161               ","42000","4.1325","0","42000","720496","Jv17068             ","LPO711              ",""
"S.15                ","100","1000","100","0","720497","Jv17069             ","LPO712              ",""
"S.160               ","180","826.5","0","180","720498","Jv17071             ","LPO714              ",""
"S.161               ","210","826.5","0","210","720499","Jv17071             ","LPO714              ",""
"S.15                ","100","1000","100","0","720500","Jv17075             ","LPO715              ",""
"S.120               ","20130","56.9741679085941","0","20130","720501","Jv17089             ","LPO710              ",""
"S.161               ","210","826.5","0","210","720502","Jv17097             ","LPO717              ",""
"S.150               ","9700","50.21","9700","0","720503","Jv17099             ","B/No367             ",""
"S.99                ","7800","40.48","7800","0","720504","Jv17101             ","B/No368             ",""
"S.103               ","40","240","40","0","720505","Jv17269             ","LPO720              ",""
"S.162               ","91000","53","0","91000","720506","Jv17271             ","LPO716              ",""
"S.162               ","26390","56.0314513073134","0","26390","720507","Jv17275             ","LPO718              ",""
"S.15                ","50","1000","50","0","720508","Jv17286             ","LPO721              ",""
"S.15                ","70","1000","70","0","720509","Jv17288             ","LPO722              ",""
"S.13                ","1600","74","0","1600","720510","Jv17344             ","LPO723              ",""
"S.13                ","1600","70.5","0","1600","720511","Jv17346             ","WRK300              ",""
