"documenttype","documentno","docdate","oderdate","duedate","postingdate","vendorcode","vendorname","yourreference","externaldocumentno","locationcode","paymentterms","postinggroup","currencycode","printed","released","status","userid","period","entryno","vatinclusive","Dimension_1","Dimension_2","freight"
"18","LPO189","3/29/2017 12:00:00 AM","","5/13/2017 12:00:00 AM","","cr447","EPPL PETROLEUM","","","          ","","notvat              ","KES       ","1","2","1","Mary Mugure         ","7","90177","True","E25       ","          ",""
"18","LPO1890","1/18/2023 12:00:00 AM","","","","cr40608","IMCD KENYA LIMITED","INV 30776","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","77","1013740","False","E25       ","          ","0"
"18","LPO1891","1/17/2023 12:00:00 AM","","","","cr190745","CLEAR CREST COMPANY LTD","","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","77","1013933","False","E25       ","          ","0"
"18","LPO1892","1/19/2023 12:00:00 AM","","","","cr411","OILIBYA  COMPANY","INV 12812","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","77","1013731","False","E25       ","          ","0"
"18","LPO1893","1/20/2023 12:00:00 AM","","","","cr190674","CHEMICAL PARTNERS KENYA LTD","INV 5630","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","77","1013743","False","E25       ","          ","0"
"18","LPO1895","1/26/2023 12:00:00 AM","","","","cr190698","METAL CANS  CLOSURES KE LTD","","","          ","","General             ","KES       ","1","2","1","Sarah               ","77","1013860","False","E25       ","          ","0"
"18","LPO1896","1/21/2023 12:00:00 AM","","","","cr411","OILIBYA  COMPANY","INV 13225","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","77","1013734","False","E25       ","          ","0"
"18","LPO1897","1/13/2023 12:00:00 AM","","","","cr190745","CLEAR CREST COMPANY LTD","4","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","77","1013930","False","E25       ","          ","0"
"18","LPO1898","1/14/2023 12:00:00 AM","","","","cr190745","CLEAR CREST COMPANY LTD","","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","77","1013927","False","E25       ","          ","0"
"18","LPO191","5/10/2017 12:00:00 AM","","5/16/2017 12:00:00 AM","","cr40602","SIMA MARINE LTD","","","          ","","01                  ","KES       ","1","2","1","Mary Mugure         ","9","90178","False","E25       ","          ",""
"18","LPO1910.","2/28/2023 12:00:00 AM","","","","cr190674","CHEMICAL PARTNERS KENYA LTD","","","          ","","General             ","KES       ","1","1","1","Sarah               ","78","1013947","False","          ","          ","0"
"18","LPO1912","2/28/2023 12:00:00 AM","","","","cr190674","CHEMICAL PARTNERS KENYA LTD","","","          ","","General             ","KES       ","1","2","1","Sarah               ","78","1013951","False","E25       ","          ","0"
"18","LPO1913","3/2/2023 12:00:00 AM","","","","cr40610","Euro Industrial chemicals Ltd","","","          ","","General             ","KES       ","1","2","1","Sarah               ","79","1013956","False","E25       ","          ","0"
"18","LPO1914","2/3/2023 12:00:00 AM","","","","cr190674","CHEMICAL PARTNERS KENYA LTD","","","          ","","General             ","KES       ","1","2","1","Sarah               ","78","1013961","False","E25       ","          ","0"
"18","LPO1916","3/2/2023 12:00:00 AM","","","","cr40608","IMCD KENYA LIMITED","INV 31484","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","79","1013966","False","E25       ","          ","0"
"18","LPO1918","3/1/2023 12:00:00 AM","","","","cr190745","CLEAR CREST COMPANY LTD","0","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","79","1013970","False","E25       ","          ","0"
"18","LPO1919","2/28/2023 12:00:00 AM","","","","cr411","OILIBYA  COMPANY","","","          ","","General             ","KES       ","1","2","1","Sarah               ","78","1013973","False","E25       ","          ","0"
"18","LPO1920","2/10/2023 12:00:00 AM","","","","cr190745","CLEAR CREST COMPANY LTD","","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","78","1013976","False","E25       ","          ","0"
"18","LPO1921","2/9/2023 12:00:00 AM","","","","cr411","OILIBYA  COMPANY","","","          ","","General             ","KES       ","1","2","1","Sarah               ","78","1013979","False","          ","          ","0"
"18","LPO1922","2/14/2023 12:00:00 AM","","","","cr411","OILIBYA  COMPANY","","","          ","","General             ","KES       ","1","2","1","Sarah               ","78","1013982","False","E25       ","          ","0"
"18","LPO1924","2/23/2023 12:00:00 AM","","","","cr447","EPPL PETROLEUM","","","          ","","General             ","KES       ","1","2","1","Sarah               ","78","1013987","False","E25       ","          ","0"
"18","LPO1925","3/1/2023 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","INV 149","","          ","","01                  ","KES       ","1","2","1","Lucybriate          ","79","1013990","False","E25       ","          ","5000"
"18","LPO1927","2/10/2023 12:00:00 AM","","","","cr447","EPPL PETROLEUM","","","          ","","General             ","KES       ","1","2","1","Sarah               ","78","1013994","False","E25       ","          ","0"
"18","LPO1928","1/26/2023 12:00:00 AM","","","","cr190698","METAL CANS  CLOSURES KE LTD","INV 01117","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","77","1013997","False","E25       ","          ","0"
"18","LPO193","5/11/2017 12:00:00 AM","","5/16/2017 12:00:00 AM","","cr483","LYDIA NYAMBURA KARANJA","","","          ","","notvat              ","KES       ","1","2","1","Mary Mugure         ","9","90180","True","E25       ","          ",""
"18","LPO1930","2/1/2023 12:00:00 AM","","","","cr120615","CASH PURCHASE","","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","78","1014002","False","E25       ","          ","0"
"18","LPO1931","3/3/2023 12:00:00 AM","","","","cr40608","IMCD KENYA LIMITED","","","          ","","General             ","KES       ","1","1","1","Lucybriate          ","79","1014005","False","E25       ","          ","0"
"18","LPO1932","3/6/2023 12:00:00 AM","","","","cr40608","IMCD KENYA LIMITED","INV 31526","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","79","1014007","False","E25       ","          ","0"
"18","LPO1933","3/6/2023 12:00:00 AM","","","","cr190687","TAKEZO  VENTURES LTD","INV 120","","          ","","01                  ","KES       ","1","2","1","Lucybriate          ","79","1014010","False","E25       ","          ","0"
"18","LPO1934","3/2/2023 12:00:00 AM","","","","cr190745","CLEAR CREST COMPANY LTD","","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","79","1014013","False","E25       ","          ","0"
"18","LPO1935","3/4/2023 12:00:00 AM","","","","cr190745","CLEAR CREST COMPANY LTD","9","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","79","1014016","False","E25       ","          ","0"
"18","LPO1936","3/8/2023 12:00:00 AM","","","","cr190698","METAL CANS  CLOSURES KE LTD","INV 01521","","          ","","General             ","KES       ","1","2","1","Lucybriate          ","79","1014019","False","E25       ","          ","0"
"18","LPO1938","3/2/2023 12:00:00 AM","","","","cr411","OILIBYA  COMPANY","1521","","          ","","General             ","KES       ","1","2","1","Mary                ","79","1014025","False","          ","          ","0"
"18","LPO1939","3/5/2023 12:00:00 AM","","","","cr411","OILIBYA  COMPANY","1503","","          ","","General             ","KES       ","1","2","1","Mary                ","79","1014028","False","          ","          ","0"
"18","LPO194","5/5/2017 12:00:00 AM","","5/16/2017 12:00:00 AM","","cr483","LYDIA NYAMBURA KARANJA","","","          ","","notvat              ","KES       ","1","2","1","Mary Mugure         ","9","90181","True","E25       ","          ",""
"18","LPO195","5/13/2017 12:00:00 AM","","5/16/2017 12:00:00 AM","","cr381","ESTHER MWITHIGA","","","          ","","notvat              ","KES       ","1","2","1","Mary Mugure         ","9","90182","True","E25       ","          ",""
"18","LPO197","4/29/2017 12:00:00 AM","","5/23/2017 12:00:00 AM","","cr447","EPPL PETROLEUM","","","          ","","notvat              ","KES       ","1","2","1","Mary Mugure         ","8","90183","True","E25       ","          ",""
"18","LPO199","5/20/2017 12:00:00 AM","","5/25/2017 12:00:00 AM","","cr590","TUFFSTEEL LIMITED","","","          ","","General             ","KES       ","1","2","1","Mary Mugure         ","9","90184","False","E25       ","          ",""
"18","LPO202","4/26/2017 12:00:00 AM","","5/25/2017 12:00:00 AM","","cr40608","IMCD KENYA LIMITED","","","          ","","General             ","KES       ","1","2","1","Mary Mugure         ","8","90185","False","E25       ","          ",""
"18","LPO203","5/26/2017 12:00:00 AM","","5/27/2017 12:00:00 AM","","cr447","EPPL PETROLEUM","013997","","          ","","notvat              ","KES       ","1","2","1","Mary Njeri          ","9","90187","True","E25       ","          ",""
"18","LPO204","5/26/2017 12:00:00 AM","","5/27/2017 12:00:00 AM","","cr590","TUFFSTEEL LIMITED","6000217","","          ","","General             ","KES       ","1","2","1","Mary Njeri          ","9","90189","False","E25       ","          ",""
"18","LPO205","5/27/2017 12:00:00 AM","","5/31/2017 12:00:00 AM","","cr381","ESTHER MWITHIGA","930","","          ","","notvat              ","KES       ","1","2","1","Mary Njeri          ","9","90191","True","E25       ","          ",""
"18","LPO206","6/2/2017 12:00:00 AM","","6/3/2017 12:00:00 AM","","cr563","GAS and GO PETROLEUM PRODUCTS","","","          ","","General             ","KES       ","1","2","1","Mary Njeri          ","10","90193","False","E25       ","          ",""
"18","LPO208","6/2/2017 12:00:00 AM","","6/3/2017 12:00:00 AM","","cr381","ESTHER MWITHIGA","932","","          ","","notvat              ","KES       ","1","2","1","Mary Njeri          ","10","90194","True","E25       ","          ",""
"18","LPO209","6/2/2017 12:00:00 AM","","6/2/2017 12:00:00 AM","","cr447","EPPL PETROLEUM","14013","","          ","","notvat              ","KES       ","1","2","1","Mary Njeri          ","10","90196","True","E25       ","          ",""
"18","LPO215","6/12/2017 12:00:00 AM","","6/16/2017 12:00:00 AM","","cr563","GAS and GO PETROLEUM PRODUCTS","","","          ","","General             ","KES       ","1","2","1","Mary Mugure         ","10","90198","False","E25       ","          ","12000"
"18","LPO216","6/13/2017 12:00:00 AM","","6/16/2017 12:00:00 AM","","cr381","ESTHER MWITHIGA","","","          ","","notvat              ","KES       ","1","2","1","Mary Mugure         ","10","90199","True","E25       ","          ","0"
"18","LPO217","6/10/2017 12:00:00 AM","","6/16/2017 12:00:00 AM","","cr381","ESTHER MWITHIGA","","","          ","","notvat              ","KES       ","1","2","1","Mary Mugure         ","10","90200","True","E25       ","          ","0"
"18","LPO218","4/11/2017 12:00:00 AM","","6/16/2017 12:00:00 AM","","cr381","ESTHER MWITHIGA","","","          ","","notvat              ","KES       ","1","2","1","Mary Mugure         ","8","90201","True","E25       ","          ","0"
"18","LPO220","6/24/2017 12:00:00 AM","","6/25/2017 12:00:00 AM","","cr40612","NATO ENERGY DEALERS LTD","","","          ","","01                  ","KES       ","1","1","1","Mary Mugure         ","10","100204","False","E25       ","          ","0"
"18","LPO221","6/27/2017 12:00:00 AM","","6/28/2017 12:00:00 AM","","cr590","TUFFSTEEL LIMITED","","","          ","","General             ","KES       ","1","2","1","Mary Mugure         ","10","100205","False","E25       ","          ","0"
"18","LPO225","7/13/2017 12:00:00 AM","","7/19/2017 12:00:00 AM","","cr483","LYDIA NYAMBURA KARANJA","Inv no.091","","          ","","notvat              ","KES       ","1","2","1","Mary Mugure         ","11","120207","True","E25       ","          ","0"
"18","LPO226","6/30/2017 12:00:00 AM","","7/19/2017 12:00:00 AM","","cr483","LYDIA NYAMBURA KARANJA","","","          ","","notvat              ","KES       ","1","2","1","Mary Mugure         ","10","120210","True","E25       ","          ","0"
"18","LPO227","7/26/2017 12:00:00 AM","","7/27/2017 12:00:00 AM","","cr40612","NATO ENERGY DEALERS LTD","","","          ","","01                  ","KES       ","1","2","1","Mary Njeri          ","11","130199","False","E25       ","          ","0"
"18","LPO228","7/26/2017 12:00:00 AM","","7/27/2017 12:00:00 AM","","cr40602","SIMA MARINE LTD","","","          ","","01                  ","KES       ","1","2","1","Mary Njeri          ","11","130200","False","E25       ","          ","0"
"18","LPO230","8/28/2017 12:00:00 AM","","8/29/2017 12:00:00 AM","","cr563","GAS and GO PETROLEUM PRODUCTS","","","          ","","General             ","KES       ","1","2","1","Mary Mugure         ","12","150201","False","E25       ","          ","0"
"18","LPO231","8/3/2017 12:00:00 AM","","9/10/2017 12:00:00 AM","","cr483","LYDIA NYAMBURA KARANJA","dlv04","","          ","","notvat              ","KES       ","1","2","1","Mary Njeri          ","12","170201","True","E25       ","          ","0"
"18","LPO233","8/24/2017 12:00:00 AM","","9/10/2017 12:00:00 AM","","cr483","LYDIA NYAMBURA KARANJA","dlv 05","","          ","","notvat              ","KES       ","1","2","1","Mary Njeri          ","12","170205","True","E25       ","          ","0"
"18","LPO234","1/30/2017 12:00:00 AM","","9/12/2017 12:00:00 AM","","cr483","LYDIA NYAMBURA KARANJA","","","          ","","notvat              ","KES       ","1","1","1","Mary Mugure         ","5","170208","True","E25       ","          ","0"
"18","LPO236","9/21/2017 12:00:00 AM","","9/22/2017 12:00:00 AM","","cr563","GAS and GO PETROLEUM PRODUCTS","","","          ","","General             ","KES       ","1","2","1","Mary Mugure         ","13","170209","False","E25       ","          ","0"
"18","LPO237","9/22/2017 12:00:00 AM","","9/23/2017 12:00:00 AM","","cr447","EPPL PETROLEUM","","","          ","","notvat              ","KES       ","1","2","1","Mary Njeri          ","13","170210","True","E25       ","          ","0"
"18","LPO238","10/4/2017 12:00:00 AM","","10/7/2017 12:00:00 AM","","cr553","NJUDI ENTERPRISES LTD","","","          ","","General             ","KES       ","1","2","1","Mary Mugure         ","14","190211","False","E25       ","          ","0"
"18","LPO241","11/11/2017 12:00:00 AM","","11/15/2017 12:00:00 AM","","cr590","TUFFSTEEL LIMITED","","","          ","","General             ","KES       ","1","2","1","Mary Mugure         ","15","220213","False","E25       ","          ","0"
"18","LPO245","11/17/2017 12:00:00 AM","","11/23/2017 12:00:00 AM","","cr70612","ROYAL YARD TRADERS","1812","","          ","","General             ","KES       ","1","1","1","Mary Njeri          ","15","230211","False","E25       ","          ","0"
"18","LPO246","11/30/2017 12:00:00 AM","","12/1/2017 12:00:00 AM","","cr70612","ROYAL YARD TRADERS","1710","","          ","","General             ","KES       ","1","2","1","Mary Njeri          ","15","240211","False","E25       ","          ","0"
"18","LPO248","12/6/2017 12:00:00 AM","","12/7/2017 12:00:00 AM","","cr40612","NATO ENERGY DEALERS LTD","Inv no.493","","          ","","01                  ","KES       ","1","2","1","Mary Mugure         ","16","240213","False","E25       ","          ","0"
"18","LPO250","12/8/2017 12:00:00 AM","","12/12/2017 12:00:00 AM","","cr80612","JEY OIL AFRICAN LTD","","","          ","","General             ","KES       ","1","2","1","Mary Njeri          ","16","250211","False","E25       ","          ","0"
"18","LPO251","12/15/2017 12:00:00 AM","","12/16/2017 12:00:00 AM","","cr80612","JEY OIL AFRICAN LTD","Dlv no.016","","          ","","General             ","KES       ","1","2","1","Mary Mugure         ","16","260211","False","E25       ","          ","0"
"18","LPO252","12/18/2017 12:00:00 AM","","12/20/2017 12:00:00 AM","","cr40612","NATO ENERGY DEALERS LTD","INV no.500","","          ","","01                  ","KES       ","1","2","1","Mary Mugure         ","16","270211","False","E25       ","          ","0"
"18","LPO253","11/27/2017 12:00:00 AM","","12/21/2017 12:00:00 AM","","cr590","TUFFSTEEL LIMITED","","","          ","","General             ","KES       ","1","2","1","Mary Mugure         ","15","270214","False","E25       ","          ","0"
"18","LPO254","11/14/2017 12:00:00 AM","","1/6/2018 12:00:00 AM","","cr447","EPPL PETROLEUM","Pty.3552","","          ","","notvat              ","KES       ","1","1","1","Mary Mugure         ","15","280211","True","E25       ","          ","0"
"18","LPO255","1/6/2018 12:00:00 AM","","1/7/2018 12:00:00 AM","","cr40612","NATO ENERGY DEALERS LTD","","","          ","","01                  ","KES       ","1","2","1","Mary Mugure         ","17","280212","False","E25       ","          ","0"
