"documenttype","documentno","docdate","oderdate","duedate","postingdate","vendorcode","vendorname","yourreference","externaldocumentno","locationcode","paymentterms","postinggroup","currencycode","printed","released","status","userid","period","entryno","vatinclusive","Dimension_1","Dimension_2","freight"
"30","GRN711","9/30/2020 12:00:00 AM","","9/1/2020 12:00:00 AM","","cr190618","ASL TRADING DIVISION","","","          ","","General             ","KES       ","","","1","Mugure              ","49","1011524","True","          ","          ","0"
"30","GRN712","10/2/2020 12:00:00 AM","","10/3/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011527","False","E25       ","          ","0"
"30","GRN713","10/2/2020 12:00:00 AM","","10/6/2020 12:00:00 AM","","cr190615","FRASAH ENTERPRISES","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011530","False","E25       ","          ","0"
"30","GRN714","10/2/2020 12:00:00 AM","","10/3/2020 12:00:00 AM","","cr190618","ASL TRADING DIVISION","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011533","True","E25       ","          ","0"
"30","GRN715","10/6/2020 12:00:00 AM","","10/7/2020 12:00:00 AM","","cr434","FRIENDSHIP CONTAINERS","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011538","True","E25       ","          ","0"
"30","GRN716","10/6/2020 12:00:00 AM","","10/9/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011541","False","E25       ","          ","0"
"30","GRN717","10/7/2020 12:00:00 AM","","10/9/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011544","False","E25       ","          ","0"
"30","GRN718","10/7/2020 12:00:00 AM","","10/9/2020 12:00:00 AM","","cr30594","JOHN MAARA","","","          ","","notvat              ","KES       ","","","1","Mugure              ","50","1011547","True","E25       ","          ","0"
"30","GRN719","10/8/2020 12:00:00 AM","","10/10/2020 12:00:00 AM","","cr40608","IMCD KENYA LIMITED","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011550","True","E25       ","          ","0"
"30","GRN720","10/9/2020 12:00:00 AM","","10/10/2020 12:00:00 AM","","cr434","FRIENDSHIP CONTAINERS","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011553","True","E25       ","          ","0"
"30","GRN721","10/9/2020 12:00:00 AM","","10/10/2020 12:00:00 AM","","cr30594","JOHN MAARA","","","          ","","notvat              ","KES       ","","","1","Mugure              ","50","1011556","True","E25       ","          ","0"
"30","GRN722","10/13/2020 12:00:00 AM","","10/14/2020 12:00:00 AM","","cr434","FRIENDSHIP CONTAINERS","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011559","True","E25       ","          ","0"
"30","GRN723","10/13/2020 12:00:00 AM","","10/14/2020 12:00:00 AM","","cr551","TRIPAC","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011562","True","E25       ","          ","0"
"30","GRN724","10/14/2020 12:00:00 AM","","10/16/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011565","False","E25       ","          ","0"
"30","GRN725","10/14/2020 12:00:00 AM","","10/15/2020 12:00:00 AM","","cr483","LYDIA NYAMBURA KARANJA","","","          ","","notvat              ","KES       ","","","1","Mugure              ","50","1011568","True","E25       ","          ","0"
"30","GRN726","10/15/2020 12:00:00 AM","","10/16/2020 12:00:00 AM","","cr190635","BITUTECH LIMITED","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011571","True","E25       ","          ","0"
"30","GRN727","10/15/2020 12:00:00 AM","","10/16/2020 12:00:00 AM","","cr576","MASTER VENTURES","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011575","True","E25       ","          ","0"
"30","GRN728","10/17/2020 12:00:00 AM","","10/18/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011578","False","E25       ","          ","0"
"30","GRN729","10/16/2020 12:00:00 AM","","10/17/2020 12:00:00 AM","","cr40612","NATO ENERGY DEALERS LTD","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011581","True","E25       ","          ","0"
"30","GRN730","10/16/2020 12:00:00 AM","","10/17/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011584","False","E25       ","          ","0"
"30","GRN731","10/17/2020 12:00:00 AM","","10/18/2020 12:00:00 AM","","cr434","FRIENDSHIP CONTAINERS","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011587","True","E25       ","          ","0"
"30","GRN732","10/17/2020 12:00:00 AM","","10/18/2020 12:00:00 AM","","cr590","TUFFSTEEL LIMITED","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011590","True","E25       ","          ","0"
"30","GRN733","10/19/2020 12:00:00 AM","","10/20/2020 12:00:00 AM","","cr590","TUFFSTEEL LIMITED","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011593","True","E25       ","          ","0"
"30","GRN734","10/20/2020 12:00:00 AM","","10/22/2020 12:00:00 AM","","cr476","ESTHER WANJIRU","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011596","True","E25       ","          ","0"
"30","GRN735","10/2/2020 12:00:00 AM","","10/3/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011599","False","E25       ","          ","0"
"30","GRN736","10/19/2020 12:00:00 AM","","10/20/2020 12:00:00 AM","","cr190627","LOKINZO ENTERPRISE","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011602","True","E25       ","          ","0"
"30","GRN737","10/20/2020 12:00:00 AM","","10/21/2020 12:00:00 AM","","cr476","ESTHER WANJIRU","","","          ","","General             ","KES       ","","","1","Mugure              ","50","1011607","True","E25       ","          ","0"
"30","GRN738","10/21/2020 12:00:00 AM","","10/22/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011610","False","E25       ","          ","0"
"30","GRN739","10/23/2020 12:00:00 AM","","10/24/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011613","False","E25       ","          ","0"
"30","GRN740","10/23/2020 12:00:00 AM","","10/24/2020 12:00:00 AM","","cr30594","JOHN MAARA","","","          ","","notvat              ","KES       ","","","1","Mugure              ","50","1011616","True","E25       ","          ","0"
"30","GRN741","10/24/2020 12:00:00 AM","","10/25/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011619","False","E25       ","          ","0"
"30","GRN742","10/27/2020 12:00:00 AM","","10/28/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011622","False","E25       ","          ","0"
"30","GRN743","10/27/2020 12:00:00 AM","","10/28/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011625","False","E25       ","          ","0"
"30","GRN744","10/28/2020 12:00:00 AM","","10/29/2020 12:00:00 AM","","cr190618","ASL TRADING DIVISION","GRN1602","","          ","","General             ","KES       ","","","1","Mary                ","50","1011630","True","          ","          ","1000"
"30","GRN745","10/28/2020 12:00:00 AM","","10/29/2020 12:00:00 AM","","cr30594","JOHN MAARA","GRN1603","","          ","","notvat              ","KES       ","","","1","Mary                ","50","1011633","True","          ","          ","0"
"30","GRN746","10/28/2020 12:00:00 AM","","10/29/2020 12:00:00 AM","","cr356","SINERGIA LTD","GRN1604","","          ","","General             ","KES       ","","","1","Mary                ","50","1011636","True","          ","          ","5000"
"30","GRN747","10/28/2020 12:00:00 AM","","10/29/2020 12:00:00 AM","","cr190642","MADINI SPRINGS LTD","GRN1605","","          ","","01                  ","KES       ","","","1","Mary                ","50","1011639","False","          ","          ","0"
"30","GRN748","10/28/2020 12:00:00 AM","","10/29/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1606","","          ","","01                  ","KES       ","","","1","Mary                ","50","1011642","False","          ","          ","0"
"30","GRN749","10/29/2020 12:00:00 AM","","10/30/2020 12:00:00 AM","","cr30594","JOHN MAARA","","","          ","","notvat              ","KES       ","","","1","Mugure              ","50","1011645","True","E25       ","          ","0"
"30","GRN750","10/31/2020 12:00:00 AM","","12/1/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","50","1011648","False","E25       ","          ","0"
"30","GRN751","11/4/2020 12:00:00 AM","","11/6/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","51","1011651","False","E25       ","          ","0"
"30","GRN752","11/5/2020 12:00:00 AM","","11/6/2020 12:00:00 AM","","cr590","TUFFSTEEL LIMITED","","","          ","","General             ","KES       ","","","1","Mugure              ","51","1011654","True","E25       ","          ","0"
"30","GRN753","10/27/2020 12:00:00 AM","","10/29/2020 12:00:00 AM","","cr429","RESOLUTE SUPPLIERS","","","          ","","notvat              ","KES       ","","","1","Mugure              ","50","1011659","True","E25       ","          ","0"
"30","GRN754","11/6/2020 12:00:00 AM","","11/7/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","51","1011662","False","E25       ","          ","0"
"30","GRN755","11/10/2020 12:00:00 AM","","11/11/2020 12:00:00 AM","","cr40612","NATO ENERGY DEALERS LTD","","","          ","","General             ","KES       ","","","1","Mugure              ","51","1011665","False","E25       ","          ","0"
"30","GRN756","11/12/2020 12:00:00 AM","","11/20/2020 12:00:00 AM","","cr190618","ASL TRADING DIVISION","GRN1615","","          ","","General             ","KES       ","","","1","Mary                ","51","1011669","False","          ","          ","1000"
"30","GRN757","11/12/2020 12:00:00 AM","","11/20/2020 12:00:00 AM","","cr434","FRIENDSHIP CONTAINERS","GRN1616","","          ","","General             ","KES       ","","","1","Mary                ","51","1011672","False","          ","          ","0"
"30","GRN758","11/13/2020 12:00:00 AM","","11/20/2020 12:00:00 AM","","cr190642","MADINI SPRINGS LTD","GRN1617","","          ","","01                  ","KES       ","","","1","Mary                ","51","1011675","False","          ","          ","0"
"30","GRN759","11/14/2020 12:00:00 AM","","11/20/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1618","","          ","","01                  ","KES       ","","","1","Mary                ","51","1011678","False","          ","          ","0"
"30","GRN760","11/18/2020 12:00:00 AM","","11/20/2020 12:00:00 AM","","cr590","TUFFSTEEL LIMITED","GRN1619","","          ","","General             ","KES       ","","","1","Mary                ","51","1011681","False","          ","          ","0"
"30","GRN761","11/18/2020 12:00:00 AM","","11/20/2020 12:00:00 AM","","cr434","FRIENDSHIP CONTAINERS","GRN1620","","          ","","General             ","KES       ","","","1","Mary                ","51","1011684","False","          ","          ","0"
"30","GRN762","11/18/2020 12:00:00 AM","","11/20/2020 12:00:00 AM","","cr190618","ASL TRADING DIVISION","GRN1621","","          ","","General             ","KES       ","","","1","Mary                ","51","1011687","False","          ","          ","1000"
"30","GRN763","11/22/2020 12:00:00 AM","","11/24/2020 12:00:00 AM","","cr190629","MENA ENERGY","","","          ","","General             ","KES       ","","","1","Mugure              ","51","1011691","False","E25       ","          ","0"
"30","GRN764","11/20/2020 12:00:00 AM","","11/24/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","51","1011694","False","E25       ","          ","0"
"30","GRN765","11/20/2020 12:00:00 AM","","11/21/2020 12:00:00 AM","","cr190649","SAMUEL MUNYI GITHAE","","","          ","","notvat              ","KES       ","","","1","Mugure              ","51","1011697","True","E25       ","          ","0"
"30","GRN766","11/24/2020 12:00:00 AM","","11/26/2020 12:00:00 AM","","cr190642","MADINI SPRINGS LTD","","","          ","","01                  ","KES       ","","","1","Mugure              ","51","1011701","False","E25       ","          ","0"
"30","GRN767","11/24/2020 12:00:00 AM","","11/26/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","51","1011704","False","E25       ","          ","0"
"30","GRN768","11/26/2020 12:00:00 AM","","11/28/2020 12:00:00 AM","","cr30594","JOHN MAARA","","","          ","","notvat              ","KES       ","","","1","Mugure              ","51","1011707","True","E25       ","          ","0"
"30","GRN769","11/27/2020 12:00:00 AM","","11/28/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","51","1011711","False","E25       ","          ","0"
"30","GRN770","11/28/2020 12:00:00 AM","","10/29/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","51","1011714","False","E25       ","          ","0"
"30","GRN771","11/27/2020 12:00:00 AM","","11/28/2020 12:00:00 AM","","cr434","FRIENDSHIP CONTAINERS","","","          ","","inc                 ","KES       ","","","1","Mugure              ","51","1011718","True","E25       ","          ","0"
"30","GRN772","12/1/2020 12:00:00 AM","","12/2/2020 12:00:00 AM","","cr40608","IMCD KENYA LIMITED","","","          ","","General             ","KES       ","","","1","Mugure              ","52","1011723","False","E25       ","          ","0"
"30","GRN773","12/4/2020 12:00:00 AM","","12/5/2020 12:00:00 AM","","cr40612","NATO ENERGY DEALERS LTD","","","          ","","General             ","KES       ","","","1","Mugure              ","52","1011726","False","E25       ","          ","0"
"30","GRN774","12/4/2020 12:00:00 AM","","12/5/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","52","1011729","False","E25       ","          ","0"
"30","GRN775","12/7/2020 12:00:00 AM","","12/8/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","52","1011732","False","E25       ","          ","0"
"30","GRN776","12/8/2020 12:00:00 AM","","12/10/2020 12:00:00 AM","","cr434","FRIENDSHIP CONTAINERS","","","          ","","inc                 ","KES       ","","","1","Mugure              ","52","1011735","True","E25       ","          ","0"
"30","GRN777","12/8/2020 12:00:00 AM","","12/9/2020 12:00:00 AM","","cr190618","ASL TRADING DIVISION","","","          ","","General             ","KES       ","","","1","Mugure              ","52","1011738","False","E25       ","          ","0"
"30","GRN778","12/9/2020 12:00:00 AM","","12/10/2020 12:00:00 AM","","cr429","RESOLUTE SUPPLIERS","","","          ","","notvat              ","KES       ","","","1","Mugure              ","52","1011741","True","E25       ","          ","0"
"30","GRN779","11/23/2020 12:00:00 AM","","11/24/2020 12:00:00 AM","","cr190652","NJORO SAFARI &amp; RHINO HOTEL","","","          ","","01                  ","KES       ","","","1","Mugure              ","51","1011744","False","E25       ","          ","0"
"30","GRN780","12/11/2020 12:00:00 AM","","12/12/2020 12:00:00 AM","","cr590","TUFFSTEEL LIMITED","","","          ","","General             ","KES       ","","","1","Mugure              ","52","1011750","False","E25       ","          ","0"
"30","GRN781","12/11/2020 12:00:00 AM","","12/12/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","52","1011753","False","E25       ","          ","0"
"30","GRN782","12/11/2020 12:00:00 AM","","12/23/2020 12:00:00 AM","","cr30594","JOHN MAARA","GRN1644","","          ","","notvat              ","KES       ","","","1","Mary                ","52","1011758","True","          ","          ","0"
"30","GRN783","12/12/2020 12:00:00 AM","","12/23/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1645","","          ","","01                  ","KES       ","","","1","Mary                ","52","1011761","False","          ","          ","0"
"30","GRN784","12/14/2020 12:00:00 AM","","12/23/2020 12:00:00 AM","","cr190635","BITUTECH LIMITED","GRN1646","","          ","","General             ","KES       ","","","1","Mary                ","52","1011764","False","          ","          ","0"
"30","GRN785","12/14/2020 12:00:00 AM","","12/23/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1647","","          ","","01                  ","KES       ","","","1","Mary                ","52","1011767","False","          ","          ","0"
"30","GRN786","12/15/2020 12:00:00 AM","","12/23/2020 12:00:00 AM","","cr30594","JOHN MAARA","GRN1648","","          ","","notvat              ","KES       ","","","1","Mary                ","52","1011770","True","          ","          ","0"
"30","GRN787","12/17/2020 12:00:00 AM","","12/23/2020 12:00:00 AM","","cr40608","IMCD KENYA LIMITED","GRN1652","","          ","","General             ","KES       ","","","1","Mary                ","52","1011773","False","          ","          ","0"
"30","GRN788","12/17/2020 12:00:00 AM","","12/23/2020 12:00:00 AM","","cr190627","LOKINZO ENTERPRISE","GRN1653","","          ","","General             ","KES       ","","","1","Mary                ","52","1011776","False","          ","          ","0"
"30","GRN789","12/19/2020 12:00:00 AM","","12/23/2020 12:00:00 AM","","cr40612","NATO ENERGY DEALERS LTD","GRN1654","","          ","","General             ","KES       ","","","1","Mary                ","52","1011779","False","          ","          ","0"
"30","GRN790","12/21/2020 12:00:00 AM","","12/23/2020 12:00:00 AM","","cr434","FRIENDSHIP CONTAINERS","GRN1675","","          ","","General             ","KES       ","","","1","Mary                ","52","1011782","False","          ","          ","0"
"30","GRN791","12/22/2020 12:00:00 AM","","12/23/2020 12:00:00 AM","","cr551","TRIPAC","GRN1658","","          ","","General             ","KES       ","","","1","Mary                ","52","1011785","False","          ","          ","0"
"30","GRN792","12/22/2020 12:00:00 AM","","12/23/2020 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1659","","          ","","01                  ","KES       ","","","1","Mary                ","52","1011788","False","          ","          ","0"
"30","GRN793","12/21/2020 12:00:00 AM","","1/5/2021 12:00:00 AM","","cr30594","JOHN MAARA","GRN1655","","          ","","notvat              ","KES       ","","","1","Mary                ","52","1011790","True","          ","          ","0"
"30","GRN794","12/21/2020 12:00:00 AM","","1/5/2021 12:00:00 AM","","cr190654","superstar parcels ltd","GRN1656","","          ","","01                  ","KES       ","","","1","Mary                ","52","1011793","False","          ","          ","5600"
"30","GRN795","12/23/2020 12:00:00 AM","","1/5/2021 12:00:00 AM","","cr190635","BITUTECH LIMITED","GRN1660","","          ","","General             ","KES       ","","","1","Mary                ","52","1011795","False","          ","          ","0"
"30","GRN796","12/23/2020 12:00:00 AM","","1/5/2021 12:00:00 AM","","cr40608","IMCD KENYA LIMITED","GRN1661","","          ","","General             ","KES       ","","","1","Mary                ","52","1011799","False","          ","          ","0"
"30","GRN797","1/5/2021 12:00:00 AM","","1/6/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","53","1011802","False","E25       ","          ","0"
"30","GRN798","1/5/2021 12:00:00 AM","","1/6/2021 12:00:00 AM","","cr190655","JOSEPH JUMA","","","          ","","01                  ","KES       ","","","1","Mugure              ","53","1011805","False","E25       ","          ","0"
"30","GRN799","1/7/2021 12:00:00 AM","","1/8/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1664","","          ","","01                  ","KES       ","","","1","Wendy               ","53","1011808","False","E25       ","          ","0"
"30","GRN800","1/11/2021 12:00:00 AM","","1/12/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Wendy               ","53","1011811","False","E25       ","          ","0"
"30","GRN801","1/13/2021 12:00:00 AM","","1/14/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Wendy               ","53","1011814","False","E25       ","          ","0"
"30","GRN802","1/14/2021 12:00:00 AM","","1/16/2021 12:00:00 AM","","cr40608","IMCD KENYA LIMITED","","","          ","","General             ","KES       ","","","1","Wendy               ","53","1011816","False","E25       ","          ","0"
"30","GRN803","1/14/2021 12:00:00 AM","","1/16/2021 12:00:00 AM","","cr190635","BITUTECH LIMITED","","","          ","","General             ","KES       ","","","1","Wendy               ","53","1011819","False","E25       ","          ","0"
"30","GRN804","1/15/2021 12:00:00 AM","","1/16/2021 12:00:00 AM","","cr190635","BITUTECH LIMITED","","","          ","","General             ","KES       ","","","1","Wendy               ","53","1011825","False","E25       ","          ","0"
"30","GRN805","1/15/2021 12:00:00 AM","","1/16/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Wendy               ","53","1011828","False","E25       ","          ","0"
"30","GRN806","1/14/2021 12:00:00 AM","","1/16/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN 1671","","          ","","01                  ","KES       ","","","1","Wendy               ","53","1011831","False","E25       ","          ","0"
"30","GRN807","1/15/2021 12:00:00 AM","","1/16/2021 12:00:00 AM","","cr190618","ASL TRADING DIVISION","GRN 1674","","          ","","General             ","KES       ","","","1","Wendy               ","53","1011834","False","E25       ","          ","0"
"30","GRN808","1/14/2021 12:00:00 AM","","1/16/2021 12:00:00 AM","","cr190615","FRASAH ENTERPRISES","GRN 1676","","          ","","01                  ","KES       ","","","1","Wendy               ","53","1011837","False","E25       ","          ","0"
"30","GRN809","1/18/2021 12:00:00 AM","","1/19/2021 12:00:00 AM","","cr190635","BITUTECH LIMITED","GRN 1677","","          ","","General             ","KES       ","","","1","Wendy               ","53","1011840","False","E25       ","          ","0"
"30","GRN810","1/21/2021 12:00:00 AM","","1/22/2021 12:00:00 AM","","cr434","FRIENDSHIP CONTAINERS"," ","","          ","","General             ","KES       ","","","1","Wendy               ","53","1011843","False","E25       ","          ","0"
"30","GRN811","1/26/2021 12:00:00 AM","","1/27/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Wendy               ","53","1011847","False","E25       ","          ","0"
"30","GRN812","1/26/2021 12:00:00 AM","","1/27/2021 12:00:00 AM","","cr10593","Resolution general suppliers","","","          ","","General             ","KES       ","","","1","Wendy               ","53","1011849","False","E25       ","          ","0"
"30","GRN813","1/26/2021 12:00:00 AM","","1/27/2021 12:00:00 AM","","cr10593","Resolution general suppliers","GRN 1678","","          ","","General             ","KES       ","","","1","Wendy               ","53","1011853","False","E25       ","          ","0"
"30","GRN814","1/26/2021 12:00:00 AM","","1/27/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN 1682","","          ","","01                  ","KES       ","","","1","Wendy               ","53","1011855","False","E25       ","          ","0"
"30","GRN815","1/26/2021 12:00:00 AM","","1/27/2021 12:00:00 AM","","cr190615","FRASAH ENTERPRISES","","","          ","","01                  ","KES       ","","","1","Mugure              ","53","1011858","False","E25       ","          ","0"
"30","GRN816","2/2/2021 12:00:00 AM","","2/3/2021 12:00:00 AM","","cr120613","SHORE TO SHORE  SUPPLIERS LTD","GRN 1692","","          ","","General             ","KES       ","","","1","Wendy               ","54","1011865","False","E25       ","          ","0"
"30","GRN817","2/2/2021 12:00:00 AM","","2/3/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN 1691","","          ","","01                  ","KES       ","","","1","Wendy               ","54","1011868","False","E25       ","          ","0"
"30","GRN818","2/2/2021 12:00:00 AM","","2/3/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN 1689","","          ","","01                  ","KES       ","","","1","Wendy               ","54","1011871","False","E25       ","          ","0"
"30","GRN819","2/2/2021 12:00:00 AM","","2/3/2021 12:00:00 AM","","cr429","RESOLUTE SUPPLIERS","GRN 1688","","          ","","notvat              ","KES       ","","","1","Wendy               ","54","1011875","True","E25       ","          ","0"
"30","GRN820","1/29/2021 12:00:00 AM","","1/30/2021 12:00:00 AM","","cr434","FRIENDSHIP CONTAINERS","GRN 1687","","          ","","General             ","KES       ","","","1","Wendy               ","53","1011877","False","E27       ","          ","0"
"30","GRN821","1/28/2021 12:00:00 AM","","1/29/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN 1686","","          ","","01                  ","KES       ","","","1","Wendy               ","53","1011880","False","E25       ","          ","0"
"30","GRN822","2/2/2021 12:00:00 AM","","2/3/2021 12:00:00 AM","","cr190655","JOSEPH JUMA","GRN 1696","","          ","","01                  ","KES       ","","","1","Wendy               ","54","1011882","False","E25       ","          ","0"
"30","GRN823","2/5/2021 12:00:00 AM","","2/6/2021 12:00:00 AM","","cr190618","ASL TRADING DIVISION","GRN1701","","          ","","General             ","KES       ","","","1","Mary                ","54","1011885","False","          ","          ","500"
"30","GRN824","2/6/2021 12:00:00 AM","","2/9/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","","","          ","","01                  ","KES       ","","","1","Mugure              ","54","1011888","False","E25       ","          ","0"
"30","GRN825","2/5/2021 12:00:00 AM","","2/9/2021 12:00:00 AM","","cr190627","LOKINZO ENTERPRISE","","","          ","","General             ","KES       ","","","1","Mugure              ","54","1011891","False","E25       ","          ","0"
"30","GRN826","1/29/2021 12:00:00 AM","","1/30/2021 12:00:00 AM","","cr429","RESOLUTE SUPPLIERS","","","          ","","notvat              ","KES       ","","","1","Mugure              ","53","1011896","True","E25       ","          ","0"
"30","GRN827","2/3/2021 12:00:00 AM","","2/16/2021 12:00:00 AM","","cr190628","JOVISTA HOLDINGS LTD","GRN1699","","          ","","General             ","KES       ","","","1","Mary                ","54","1011899","False","          ","          ","0"
"30","GRN828","2/4/2021 12:00:00 AM","","2/16/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1700","","          ","","01                  ","KES       ","","","1","Mary                ","54","1011902","False","          ","          ","0"
"30","GRN829","2/2/2021 12:00:00 AM","","2/16/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1697","","          ","","01                  ","KES       ","","","1","Mary                ","54","1011905","False","          ","          ","0"
"30","GRN830","2/9/2021 12:00:00 AM","","2/19/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1706","","          ","","01                  ","KES       ","","","1","Mary                ","54","1011908","False","          ","          ","0"
"30","GRN831","2/11/2021 12:00:00 AM","","2/19/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1709","","          ","","01                  ","KES       ","","","1","Mary                ","54","1011911","False","          ","          ","0"
"30","GRN832","2/12/2021 12:00:00 AM","","2/19/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1710","","          ","","01                  ","KES       ","","","1","Mary                ","54","1011914","False","          ","          ","0"
"30","GRN833","2/12/2021 12:00:00 AM","","2/19/2021 12:00:00 AM","","cr190627","LOKINZO ENTERPRISE","GRN1711","","          ","","General             ","KES       ","","","1","Mary                ","54","1011917","False","          ","          ","2500"
"30","GRN834","2/13/2021 12:00:00 AM","","2/19/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1712","","          ","","01                  ","KES       ","","","1","Mary                ","54","1011920","False","          ","          ","0"
"30","GRN835","2/13/2021 12:00:00 AM","","2/19/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1712","","          ","","01                  ","KES       ","","","1","Mary                ","54","1011923","False","          ","          ","0"
"30","GRN836","2/16/2021 12:00:00 AM","","2/19/2021 12:00:00 AM","","cr434","FRIENDSHIP CONTAINERS","GRN1713","","          ","","General             ","KES       ","","","1","Mary                ","54","1011926","False","          ","          ","0"
"30","GRN837","2/16/2021 12:00:00 AM","","2/19/2021 12:00:00 AM","","cr190621","RICHARD NANDWA","GRN1714","","          ","","01                  ","KES       ","","","1","Mary                ","54","1011929","False","          ","          ","0"
"30","GRN838","2/16/2021 12:00:00 AM","","2/19/2021 12:00:00 AM","","cr40612","NATO ENERGY DEALERS LTD","GRN1715","","          ","","inc                 ","KES       ","","","1","Mary                ","54","1011931","True","          ","          ","0"
"30","GRN839","2/17/2021 12:00:00 AM","","2/19/2021 12:00:00 AM","","cr434","FRIENDSHIP CONTAINERS","GRN1716","","          ","","General             ","KES       ","","","1","Mary                ","54","1011935","False","          ","          ","0"
"30","GRN840","2/17/2021 12:00:00 AM","","2/19/2021 12:00:00 AM","","cr190618","ASL TRADING DIVISION","GRN1718","","          ","","General             ","KES       ","","","1","Mary                ","54","1011938","False","          ","          ","1000"
