"docno","date","itemcode","externalref","narrative","amount","printed","journal","currency"
"Rct341              ","2/2/2018 12:00:00 AM","Dr190676            ","inv461","Paid in KES","24888.00","True","Jv6709","KES       "
"Rct342              ","12/2/2017 12:00:00 AM","Dr80670             ","inv401","Paid in KES","156000.00","True","Jv6783","KES       "
"Rct343              ","2/7/2018 12:00:00 AM","Dr190676            ","Inv.466","Paid in KES","12444.00","True","Jv6788","KES       "
"Rct344              ","2/12/2018 12:00:00 AM","Dr190677            ","INV.467","Paid in KES","240000.00","True","Jv6809","KES       "
"Rct345              ","11/21/2017 12:00:00 AM","Dr120670            ","Inv.394","Paid in KES","16000.00","True","Jv6834","KES       "
"Rct346              ","11/21/2017 12:00:00 AM","Dr369               ","Inv.438","Paid in KES","16000.00","True","Jv6838","KES       "
"Rct347              ","2/13/2018 12:00:00 AM","Dr471               ","RTGS","Paid in KES","473000.00","True","Jv6924","KES       "
"Rct348              ","2/16/2018 12:00:00 AM","Dr200678            ","Inv no.475","Paid in KES","51240.00","True","Jv6968","KES       "
"Rct349              ","2/16/2018 12:00:00 AM","Dr140670            ","CHQ.031999","Paid in KES","473000.00","True","Jv7030","KES       "
"Rct350              ","2/15/2018 12:00:00 AM","Dr474               ","CHQ.459405","Paid in KES","400000.00","True","Jv7066","KES       "
"Rct351              ","1/18/2018 12:00:00 AM","Dr457               ","inv429","Paid in KES","584138.00","","Jv7086","KES       "
"Rct352              ","1/16/2018 12:00:00 AM","Dr190671            ","inv446","Paid in KES","925000.00","","Jv7088","KES       "
"Rct353              ","1/22/2018 12:00:00 AM","Dr471               ","inv423","Paid in KES","330000.00","","Jv7089","KES       "
"Rct354              ","2/26/2018 12:00:00 AM","Dr471               ","Transfer ","Paid in KES","566500.00","True","Jv7091","KES       "
"Rct355              ","1/26/2018 12:00:00 AM","Dr533               ","trf","Paid in KES","157276.60","","Jv7143","KES       "
"Rct356              ","2/16/2018 12:00:00 AM","Dr190678            ","Inv472","Paid in KES","775000.00","","Jv7145","KES       "
"Rct357              ","3/5/2018 12:00:00 AM","Dr230678            ","INV.480","Paid in KES","13725.00","True","Jv7214","KES       "
"Rct359              ","3/2/2018 12:00:00 AM","Dr474               ","chq 459406","Paid in KES","448273.00","True","Jv7217","KES       "
"Rct358              ","3/2/2018 12:00:00 AM","Dr533               ","CHQ.012688","Paid in KES","100000.00","True","Jv7218","KES       "
"Rct360              ","3/2/2018 12:00:00 AM","Dr533               ","CHQ.012693","Paid in KES","256982.76","True","Jv7220","KES       "
"Rct361              ","3/2/2018 12:00:00 AM","Dr240678            ","CHQ .000741","Paid in KES","13798.20","True","Jv7240","KES       "
"Rct362              ","3/16/2018 12:00:00 AM","Dr240678            ","CHQ no.000763","Paid in KES","17400.00","True","Jv7281","KES       "
"Rct363              ","3/29/2018 12:00:00 AM","Dr423               ","INV.495","Paid in KES","90200.00","True","Jv7401","KES       "
"Rct364              ","3/29/2018 12:00:00 AM","Dr260678            ","INV.498","Paid in KES","48000.00","True","Jv7411","KES       "
"Rct365              ","3/29/2018 12:00:00 AM","Dr260679            ","INV.499","Paid in KES","25100.00","True","Jv7419","KES       "
"Rct366              ","4/5/2018 12:00:00 AM","Dr593               ","CHQ.001153","Paid in KES","32400.00","True","Jv7470","KES       "
"Rct367              ","4/6/2018 12:00:00 AM","Dr609               ","INV.501","Paid in KES","16000.00","True","Jv7474","KES       "
"Rct368              ","4/6/2018 12:00:00 AM","Dr240678            ","CHQ.000114","Paid in KES","17400.00","True","Jv7484","KES       "
"Rct369              ","4/12/2018 12:00:00 AM","Dr270678            ","INV.504","Paid in KES","31000.00","True","Jv7492","KES       "
"Rct370              ","4/14/2018 12:00:00 AM","Dr280678            ","INV.508","Paid in KES","33000.00","True","Jv7531","KES       "
"Rct373              ","4/10/2018 12:00:00 AM","Dr474               ","CHQ no.459443","Paid in KES","516809.30","True","Jv7563","KES       "
"Rct374              ","3/28/2018 12:00:00 AM","Dr100670            ","inv494","Paid in KES","15000.00","True","Jv7580","KES       "
"Rct375              ","4/23/2018 12:00:00 AM","Dr457               ","chq012442","Paid in KES","794181.00","True","Jv7641","KES       "
"Rct376              ","4/25/2018 12:00:00 AM","Dr476               ","chq2073","Paid in KES","290344.00","True","Jv7643","KES       "
"Rct377              ","3/15/2018 12:00:00 AM","Dr533               ","chq12775","Paid in KES","300000.00","True","Jv7651","KES       "
"Rct378              ","3/5/2018 12:00:00 AM","Dr386               ","chq4417","Paid in KES","500000.00","True","Jv7652","KES       "
"Rct379              ","3/16/2018 12:00:00 AM","Dr250678            ","490,502","Paid in KES","194000.00","True","Jv7653","KES       "
"Rct380              ","3/27/2018 12:00:00 AM","Dr240678            ","inv497","Paid in KES","340000.00","True","Jv7657","KES       "
"Rct381              ","4/30/2018 12:00:00 AM","Dr474               ","inv448","Paid in KES","73491.00","True","Jv7666","KES       "
"Rct383              ","5/2/2018 12:00:00 AM","Dr443               ","INV511","Paid in KES","176000.00","True","Jv7686","KES       "
"Rct384              ","11/7/2017 12:00:00 AM","Dr535               ","trf","Paid in KES","3011360.00","","Jv7695","KES       "
"Rct385              ","11/4/2017 12:00:00 AM","Dr70670             ","chq556","Paid in KES","180000.00","","Jv7715","KES       "
"Rct386              ","5/10/2018 12:00:00 AM","Dr300679            ","INV.516","Paid in KES","16000.00","True","Jv7860","KES       "
"Rct387              ","5/10/2018 12:00:00 AM","Dr300679            ","INV.517","Paid in KES","38500.00","True","Jv7864","KES       "
"Rct388              ","5/11/2018 12:00:00 AM","Dr300681            ","Cash","Paid in KES","36000.00","True","Jv7874","KES       "
"Rct389              ","5/12/2018 12:00:00 AM","Dr486               ","Inv.520","Paid in KES","2340.00","True","Jv7882","KES       "
"Rct390              ","5/14/2018 12:00:00 AM","Dr220678            ","","Paid in KES","37000.00","True","Jv7890","KES       "
