"itemcode","date","invoiceno","journalno","doctype","receiptno","amount","receiptjournal"
"cr348               ","8/26/2016 12:00:00 AM","IN2007              ","J.18238             ","20","P0264               ","5000.00","Jv13610             "
"cr349               ","4/26/2013 12:00:00 AM","20130426            ","J.5720              ","20","cash                ","5000.00","J.5782              "
"cr349               ","4/30/2013 12:00:00 AM","20130430            ","J.5768              ","20","83                  ","2000.00","J.5985              "
"cr349               ","5/2/2013 12:00:00 AM","20130502            ","J.5781              ","20","83                  ","1000.00","J.5985              "
"cr349               ","5/4/2013 12:00:00 AM","20130504            ","J.5873              ","20","83                  ","2000.00","J.5985              "
"cr441               ","5/10/2013 12:00:00 AM","9052013             ","J.0                 ","53","83                  ","1000.00","J.5985              "
"cr441               ","5/10/2013 12:00:00 AM","9052013             ","J.0                 ","53","83                  ","1000.00","J.5985              "
"cr441               ","5/10/2013 12:00:00 AM","PO404               ","J.0                 ","20","83                  ","1000.00","J.5985              "
"cr437               ","3/11/2016 12:00:00 AM","3389                ","J.0                 ","22","83                  ","1000.00","J.5985              "
"cr349               ","5/8/2013 12:00:00 AM","20130507            ","J.0                 ","20","83                  ","1000.00","J.5985              "
"cr441               ","5/10/2013 12:00:00 AM","PO404               ","J.0                 ","20","83                  ","1000.00","J.5985              "
"cr437               ","3/11/2016 12:00:00 AM","3389                ","J.0                 ","22","83                  ","1000.00","J.5985              "
"cr349               ","5/10/2013 12:00:00 AM","20130510            ","J.5987              ","20","20130608            ","2000.00","J.6321              "
"cr349               ","5/25/2013 12:00:00 AM","20130525            ","J.6181              ","20","20130608            ","7000.00","J.6321              "
"cr349               ","5/31/2013 12:00:00 AM","20130531            ","J.6226              ","20","20130608            ","2000.00","J.6321              "
"cr349               ","7/31/2013 12:00:00 AM","31072013            ","J.7141              ","20","cash                ","10000.00","J.7340              "
"cr349               ","2/23/2021 12:00:00 AM","3097                ","Jv31494             ","23","3097                ","15000.00","Jv23425             "
"cr349               ","5/10/2021 12:00:00 AM","8553                ","Jv31495             ","23","P0279               ","2500.00","Jv25528             "
"cr349               ","6/3/2021 12:00:00 AM","8227                ","Jv31496             ","23","P0283               ","5500.00","Jv27536             "
"cr349               ","6/21/2021 12:00:00 AM","9023                ","Jv31497             ","23","P0283               ","2500.00","Jv28434             "
"cr349               ","7/1/2021 12:00:00 AM","8550                ","Jv31498             ","23","P0282               ","2500.00","Jv26460             "
"cr349               ","7/6/2021 12:00:00 AM","8542                ","Jv31499             ","23","P0282               ","2500.00","Jv26444             "
"cr349               ","7/9/2021 12:00:00 AM","8784                ","Jv31500             ","23","P0283               ","500.00","Jv26491             "
"cr349               ","7/17/2021 12:00:00 AM","8828                ","Jv31501             ","23","P0283               ","3000.00","Jv26729             "
"cr349               ","7/21/2021 12:00:00 AM","8839                ","Jv31502             ","23","P0283               ","1000.00","Jv26747             "
"cr349               ","7/27/2021 12:00:00 AM","8871                ","Jv31493             ","23","P0283               ","2000.00","Jv26823             "
"cr190738            ","6/25/2022 12:00:00 AM","1840                ","Jv37723             ","23","P0287               ","30375.00","Jv37727             "
"cr190738            ","6/27/2022 12:00:00 AM","1841                ","Jv37724             ","23","P0287               ","2511.00","Jv37727             "
"cr473               ","7/31/2022 12:00:00 AM","1874                ","Jv39817             ","23","003341              ","66000.00","Jv41327             "
"cr190745            ","12/6/2022 12:00:00 AM","LPO1872             ","Jv41096             ","20","000287              ","545400.00","Jv41346             "
"cr190745            ","12/6/2022 12:00:00 AM","LPO1872             ","Jv41096             ","20","000289              ","327240.00","Jv41348             "
"cr190736            ","6/10/2022 12:00:00 AM","1835                ","Jv37390             ","23","P0287               ","4010.00","Jv37826             "
"cr190728            ","6/28/2022 12:00:00 AM","1842                ","Jv37832             ","23","P0287               ","4000.00","Jv37833             "
"cr190738            ","6/27/2022 12:00:00 AM","1841                ","Jv37724             ","23","P0287               ","2511.00","Jv37830             "
"cr60612             ","10/17/2017 12:00:00 AM","BD161017            ","Jv23287             ","23","P0287               ","5000.00","Jv37868             "
"cr190740            ","7/7/2022 12:00:00 AM","LPO1766             ","Jv37836             ","20","P0287               ","5200.00","Jv37972             "
"cr140615            ","6/20/2022 12:00:00 AM","1845                ","Jv38006             ","23","Chq003189           ","45000.00","Jv38008             "
"cr350               ","3/26/2013 12:00:00 AM","P.0300              ","J.5241              ","20","000458              ","46000.00","J.5713              "
"cr350               ","3/26/2013 12:00:00 AM","P.0301              ","J.5242              ","20","000458              ","16800.00","J.5713              "
"cr350               ","4/24/2013 12:00:00 AM","P.O390              ","J.5636              ","20","000458              ","250.00","J.5713              "
"cr350               ","4/24/2013 12:00:00 AM","P.O390              ","J.5636              ","20","350                 ","24000.00","J.5966              "
"cr350               ","4/24/2013 12:00:00 AM","P.O390              ","J.5636              ","20","000469b             ","26000.00","J.5860              "
"cr350               ","6/17/2013 12:00:00 AM","P.O504              ","J.6861              ","20","15052013            ","30000.00","J.6114              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","22                  ","995000.00","J.2312              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","23                  ","995000.00","J.2313              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","28                  ","995000.00","J.2314              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00025               ","995000.00","J.3202              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","0026                ","995000.00","J.3209              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","000007              ","995000.00","J.5721              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00008               ","995000.00","J.5722              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","0009                ","995000.00","J.5723              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00010               ","995000.00","J.5724              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00011               ","995000.00","J.5725              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00012               ","995000.00","J.5726              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00013               ","995000.00","J.5727              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00014               ","995000.00","J.5728              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00015               ","995000.00","J.5729              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00016               ","995000.00","J.5730              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00017               ","995000.00","J.5731              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00018               ","995000.00","J.5732              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00019               ","995000.00","J.5733              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00020               ","995000.00","J.5734              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00021               ","995000.00","J.5735              "
"cr352               ","1/22/2013 12:00:00 AM","                    ","J.4682              ","0","00023               ","528124.00","J.5736              "
"cr354               ","5/25/2012 12:00:00 AM","383                 ","J.1085              ","20","49                  ","51000.00","J.1086              "
"cr354               ","5/25/2012 12:00:00 AM","383                 ","J.1085              ","20","82                  ","48000.00","J.3626              "
"cr354               ","9/25/2012 12:00:00 AM","364                 ","J.3625              ","20","82                  ","48000.00","J.3626              "
"cr354               ","3/1/2013 12:00:00 AM","BILL032013          ","J.5707              ","20","000416              ","48000.00","J.5479              "
"cr354               ","4/4/2013 12:00:00 AM","629                 ","J.5450              ","20","000446              ","55680.00","J.5706              "
"cr354               ","5/31/2013 12:00:00 AM","20130531            ","J.6397              ","20","474                 ","55680.00","J.6384              "
"cr390               ","6/25/2013 12:00:00 AM","INVW12              ","J.6884              ","20","625                 ","55680.00","J.6575              "
"cr354               ","6/25/2013 12:00:00 AM","INVW12              ","J.6884              ","20","625                 ","55680.00","J.6575              "
"cr354               ","6/25/2013 12:00:00 AM","INVW40              ","J.7233              ","20","776                 ","64960.00","J.7742              "
"cr390               ","8/1/2013 12:00:00 AM","INVW40              ","J.7740              ","20","776                 ","64960.00","J.7742              "
"cr354               ","8/1/2013 12:00:00 AM","INVW40              ","J.7740              ","20","776                 ","64960.00","J.7742              "
"cr390               ","9/1/2013 12:00:00 AM","INVW59              ","J.7741              ","20","000362              ","64960.00","J.11258             "
"cr354               ","9/1/2013 12:00:00 AM","INVW59              ","J.7741              ","20","000362              ","64960.00","J.11258             "
"cr390               ","12/31/2013 12:00:00 AM","W180                ","J.11257             ","20","000931              ","64960.00","J.11821             "
"cr354               ","12/31/2013 12:00:00 AM","W180                ","J.11257             ","20","000931              ","64960.00","J.11821             "
"cr390               ","3/7/2014 12:00:00 AM","MARCH               ","J.18153             ","20","000931              ","34800.00","J.11821             "
"cr354               ","3/7/2014 12:00:00 AM","MARCH               ","J.18153             ","20","000931              ","34800.00","J.11821             "
"cr390               ","4/30/2014 12:00:00 AM","INVW277             ","J.11429             ","20","000250              ","64960.00","J.11405             "
"cr354               ","4/30/2014 12:00:00 AM","INVW277             ","J.11429             ","20","000250              ","64960.00","J.11405             "
"cr354               ","5/24/2014 12:00:00 AM","INVW306             ","J.9829              ","20","000288              ","64960.00","J.11430             "
"cr390               ","6/16/2014 12:00:00 AM","INV231              ","J.11822             ","20","000932              ","64960.00","J.11823             "
"cr354               ","6/16/2014 12:00:00 AM","INV231              ","J.11822             ","20","000932              ","64960.00","J.11823             "
"cr354               ","6/25/2014 12:00:00 AM","INVW327             ","J.10181             ","20","000439              ","64960.00","J.9836              "
"cr354               ","7/25/2014 12:00:00 AM","INVW350             ","J.10082             ","20","000472              ","64960.00","J.10182             "
"cr354               ","8/29/2014 12:00:00 AM","INMG378             ","J.10472             ","20","000513              ","64960.00","J.10180             "
"cr390               ","9/25/2014 12:00:00 AM","INMG407             ","J.10913             ","20","000575              ","64960.00","J.10743             "
"cr354               ","9/25/2014 12:00:00 AM","INMG407             ","J.10913             ","20","000575              ","64960.00","J.10743             "
"cr390               ","10/25/2014 12:00:00 AM","INMG431             ","J.11336             ","20","000622              ","64960.00","J.11177             "
"cr354               ","10/25/2014 12:00:00 AM","INMG431             ","J.11336             ","20","000622              ","64960.00","J.11177             "
"cr390               ","11/6/2014 12:00:00 AM","31MARCH             ","J.11404             ","20","000565              ","64960.00","J.11893             "
"cr354               ","11/6/2014 12:00:00 AM","31MARCH             ","J.11404             ","20","000565              ","64960.00","J.11893             "
"cr390               ","11/25/2014 12:00:00 AM","INMG460             ","J.11819             ","20","000716              ","64960.00","J.11924             "
"cr354               ","11/25/2014 12:00:00 AM","INMG460             ","J.11819             ","20","000716              ","64960.00","J.11924             "
"cr390               ","12/29/2014 12:00:00 AM","INMG493             ","J.12181             ","20","000748              ","64960.00","J.12573             "
"cr354               ","12/29/2014 12:00:00 AM","INMG493             ","J.12181             ","20","000748              ","64960.00","J.12573             "
"cr390               ","1/26/2015 12:00:00 AM","INMG524             ","J.12439             ","20","000772              ","64960.00","J.12650             "
"cr354               ","1/26/2015 12:00:00 AM","INMG524             ","J.12439             ","20","000772              ","64960.00","J.12650             "
"cr390               ","2/25/2015 12:00:00 AM","INMG552             ","J.12882             ","20","000824              ","64960.00","J.12939             "
"cr354               ","2/25/2015 12:00:00 AM","INMG552             ","J.12882             ","20","000824              ","64960.00","J.12939             "
"cr390               ","3/31/2015 12:00:00 AM","INMG580             ","J.13208             ","20","000865              ","64960.00","J.13209             "
"cr354               ","3/31/2015 12:00:00 AM","INMG580             ","J.13208             ","20","000865              ","64960.00","J.13209             "
"cr390               ","4/25/2015 12:00:00 AM","INMG606             ","J.13511             ","20","000928              ","64960.00","J.13752             "
"cr354               ","4/25/2015 12:00:00 AM","INMG606             ","J.13511             ","20","000928              ","64960.00","J.13752             "
"cr390               ","5/31/2015 12:00:00 AM","INMG644             ","J.13768             ","20","000957              ","64960.00","J.14023             "
"cr354               ","5/31/2015 12:00:00 AM","INMG644             ","J.13768             ","20","000957              ","64960.00","J.14023             "
"cr390               ","6/30/2015 12:00:00 AM","INMG671             ","J.14025             ","20","000993              ","64960.00","J.14263             "
"cr354               ","6/30/2015 12:00:00 AM","INMG671             ","J.14025             ","20","000993              ","64960.00","J.14263             "
"cr390               ","7/28/2015 12:00:00 AM","INMG702             ","J.14524             ","20","001127              ","64960.00","J.14571             "
"cr354               ","7/28/2015 12:00:00 AM","INMG702             ","J.14524             ","20","001127              ","64960.00","J.14571             "
"cr390               ","8/28/2015 12:00:00 AM","INMG732             ","J.14516             ","20","001170              ","64960.00","J.14871             "
"cr354               ","8/28/2015 12:00:00 AM","INMG732             ","J.14516             ","20","001170              ","64960.00","J.14871             "
"cr390               ","9/25/2015 12:00:00 AM","INMG760             ","J.14974             ","20","001210              ","69600.00","J.15049             "
"cr354               ","9/25/2015 12:00:00 AM","INMG760             ","J.14974             ","20","001210              ","69600.00","J.15049             "
"cr390               ","10/24/2015 12:00:00 AM","INMG791             ","J.15143             ","20","001222              ","69600.00","J.15266             "
"cr354               ","10/24/2015 12:00:00 AM","INMG791             ","J.15143             ","20","001222              ","69600.00","J.15266             "
"cr390               ","11/30/2015 12:00:00 AM","INMG823             ","J.15367             ","20","001267              ","69600.00","J.15438             "
"cr354               ","11/30/2015 12:00:00 AM","INMG823             ","J.15367             ","20","001267              ","69600.00","J.15438             "
"cr390               ","12/31/2015 12:00:00 AM","853                 ","J.15481             ","20","1330                ","69600.00","J.15653             "
"cr354               ","12/31/2015 12:00:00 AM","853                 ","J.15481             ","20","1330                ","69600.00","J.15653             "
"cr390               ","1/28/2016 12:00:00 AM","JAN                 ","J.18152             ","20","1297                ","69600.00","J.16602             "
"cr354               ","1/28/2016 12:00:00 AM","JAN                 ","J.18152             ","20","1297                ","69600.00","J.16602             "
"cr390               ","2/29/2016 12:00:00 AM","889                 ","J.16090             ","20","001331              ","69600.00","J.16246             "
"cr354               ","2/29/2016 12:00:00 AM","889                 ","J.16090             ","20","001331              ","69600.00","J.16246             "
"cr390               ","3/29/2016 12:00:00 AM","INMG962             ","J.16704             ","20","1371                ","69600.00","J.16705             "
"cr354               ","3/29/2016 12:00:00 AM","INMG962             ","J.16704             ","20","1371                ","69600.00","J.16705             "
"cr354               ","4/30/2016 12:00:00 AM","INMG974             ","J.17005             ","20","RTGS                ","69600.00","J.17798             "
"cr390               ","5/25/2016 12:00:00 AM","INMG1002            ","J.17102             ","20","RTGS                ","69600.00","J.17798             "
"cr354               ","5/25/2016 12:00:00 AM","INMG1002            ","J.17102             ","20","RTGS                ","69600.00","J.17798             "
"cr390               ","7/12/2016 12:00:00 AM","INMG1030            ","J.17601             ","20","3578                ","69600.00","Jv31042             "
"cr354               ","7/12/2016 12:00:00 AM","INMG1030            ","J.17601             ","20","3578                ","69600.00","Jv31042             "
"cr390               ","7/25/2016 12:00:00 AM","INMG1055            ","J.17939             ","20","001040              ","69600.00","J.18365             "
"cr354               ","7/25/2016 12:00:00 AM","INMG1055            ","J.17939             ","20","001040              ","69600.00","J.18365             "
"cr390               ","8/31/2016 12:00:00 AM","INMG1082            ","J.18367             ","20","001070              ","69600.00","J.18366             "
"cr354               ","8/31/2016 12:00:00 AM","INMG1082            ","J.18367             ","20","001070              ","69600.00","J.18366             "
"cr390               ","9/26/2016 12:00:00 AM","INMG1109            ","J.18809             ","20","14                  ","69600.00","Jv625               "
"cr354               ","9/26/2016 12:00:00 AM","INMG1109            ","J.18809             ","20","14                  ","69600.00","Jv625               "
