"itemcode","ParameterID","Parameter","Limits_min","Limits_max","Method","Units","vital","category","NoStandardlimit"
"S.10                ","38","DISTILLATE TO 260&reg;C","20","60","","","","","False"
"S.10                ","39","DISTILLATE TO 316&reg;C","65","90","","","","","False"
"S.10                ","40","DIRESIDUE FROM DISTILLATION TO 360&reg;C %VOL","55","","","","","","False"
"S.10                ","41","PENETRATION ON RESIDUE FROM DISTILLATION AT 25&reg;C 100g 5s 0.1mm","120","300","","","","","False"
"S.10                ","42","WATER CONTENT %","0.2","","","","","","False"
"S.10                ","43","DUCTILITY AT 25&reg;C cm","100","","","","","","False"
"S.10                ","44","SOLUBILITY IN TRICHROROETHYLENE % BY MASS","99","","","","","","False"
"S.14                ","45","KINEMATIC VISCOSITY","3000","6000","","","","","False"
"S.14                ","46","FLASHPOINT(tag open cup) &reg;C","66","","","","","","False"
"S.14                ","47","FLASHPOINT(tag open cup) &reg;C","66","","","","","","False"
"S.14                ","48","DENSITY(Specific gravity)","","","","","","","False"
"S.14                ","49","DISTILLATE TO 225&reg;C)","0","0","","","","","False"
"S.14                ","50","DISTILLATE TO 260&reg;C","0","15","","","","","False"
"S.14                ","51","DISTILLATE TO 316&reg;C","15","75","","","","","False"
"S.14                ","52","RESIDUE FROM DISTILLATION TO
360&reg;C %VOL","30","","","","","","False"
"S.14                ","53","PENETRATION ON RESIDUE FROM DISTILLATION AT 25&reg;C100g 5s 0.1mm","120","250","","","","","False"
"S.14                ","54","WATER CONTENT %","0.2","","","","","","False"
"S.14                ","55","DUCTILITY AT 25&reg;C cm","100","","","","","","False"
"S.14                ","56","SOLUBILITY IN TRICHROROETHYLENE % BY MASS","99","","","","","","False"
"S.34                ","57","Penetration @25&reg;C(100g,5s)0.1mm
(AASHTO T49)","60","70","","","","","False"
"S.34                ","58","Softening point (Ring and Ball) C AASHTO T53","48","56","","","","","False"
"S.34                ","59","Softening point (Ring and Ball) C AASHTO T53","48","56","","","","","False"
"S.34                ","60","Softening point (Ring and Ball) C AASHTO T53","48","56","","","","","False"
"S.34                ","61","Flash Point (Cleveland Open Cup)&reg;C
(AASHTO T48)","250","","","","","","False"
"S.34                ","62","Ductility at 25&reg;C,cm (AASHTO T51)","100","","","","","","False"
"S.34                ","63","Specific Gravity at 25&reg;C,g/cm AASHTO T228","1.0","1.05","","","","","False"
"S.120               ","64","Penetration @25&reg;C(100g,5s)0.1mm (AASHTO T49)","80","100","","","","","False"
"S.120               ","65","Softening point (Ring and Ball)&reg;C AASHTO T53","45","52","","","","","False"
"S.120               ","66","Flash Point (Cleveland Open Cup)&reg;C (AASHTO T48)","225","","","","","","False"
"S.120               ","67","Ductility at 25&reg;C,cm (AASHTO T51)","100","","","","","","False"
"S.120               ","68","Specific Gravity at 25&reg;C,g/cm AASHTO T228","1.0","1.05","","","","","False"
"S.99                ","69","Residue on 710&micro;m KS sieve","","0.05","","","","","False"
"S.99                ","70","Residue on 150&micro;m KS sieve (g per 100ml) max","","","","","","","False"
"S.99                ","71","Stability to mixing with cement(%coagulation)","","","","","","","False"
"S.99                ","72","Binder content(%m/m)min","56","","","","","","False"
"S.99                ","73","Viscosity (degrees Engler)(ËšE)at 20ËšC","","8","","","","","False"
"S.99                ","74","Coagulation at low Temp.","Nil","60","","","","","False"
"S.99                ","75","Particle Charge","Negative","","","","","","False"
"S.60166             ","76","Residue on 710 &micro;m KS sieve","8","","ASTM D6933","","","","False"
"S.60166             ","77","Binder Content","60","","ASTM D6934","","","","False"
"S.60166             ","78","Particle polarity","Neutral ","Negative","ASTM D244","","","","False"
"S.60166             ","79","Miscibility with water","-","-","ASTM D6999","","","","False"
"S.60166             ","80","Density (g/cc)","0.9","1.1","ASTM D70","","","","False"
"S.103               ","81","Residue on 710 &micro;m KS sieve","8","","ASTM D6933","","","","False"
"S.103               ","82","Binder Content","56","","ASTM D6934","","","","False"
"S.103               ","83","Particle polarity","Neutral ","","ASTM D244","","","","False"
"S.103               ","84","Miscibility with water","","","ASTM D6999","","","","False"
"S.103               ","85","Particle Density (g/cc)","0.9","1.1","ASTM D70","","","","False"
"S.112               ","86","Residue on 710 &micro;m KS Sieve","8","","ASTM D6933","","","","False"
"S.112               ","87","Binder Content (%)","49","","ASTM D6934","","","","False"
"S.112               ","88","Particle polarity","Neutral ","","ASTM D244","","","","False"
"S.112               ","89","Miscibility with water","","","ASTM D6999","","","","False"
"S.112               ","90","Particle Density","0.9","1.1","ASTM D70","","","","False"
"S.95                ","91","Specific Gravity (g/cm3)","0.9","1.1","ASTM D1298","","","","False"
"S.95                ","92","Solid by Weight (%)","57","","ASTM D2172","","","","False"
"S.95                ","93","Flash Point","38","","ASTM D92","","","","False"
"S.35                ","95","Kinematic viscosity (Cst)","30","60","KS 02-1239","","","","False"
"S.35                ","96","Appearance","Black","Black","ASTM 3741","","","","False"
"S.35                ","97","Specific Gravity (g/c","0.9","1.1","ASTM D1298","","","","False"
"S.35                ","98","Binder Content (%)","55","","ASTM D2172","","","","False"
"S.35                ","99","Flash Point","38","","ASTM D92","","","","False"
