"customerCode","stockcode","approved","approvedby","DateTime","units_code","quantity","price","id","container"
"Dr510725","S.6","True","Lucybriate","9/27/2021 7:05:00 AM","u 10","200","14224.14","297",""
"Dr510766","S.103","True","Sarah","2/21/2023 7:58:00 AM","u 9","20","4310.345","924",""
"Dr510895","S.122","True","Lucybriate","6/8/2022 7:56:00 AM","u 6","1","450","804",""
"Dr510851","S.35","True","Mary","6/23/2021 1:11:00 PM","u20","4","1120.69","53",""
"Dr510866","S.103","True","Sarah","4/2/2022 10:40:00 AM","u20","4","1400","704",""
"Dr510716","S.7","True","Lucybriate","3/13/2022 6:19:00 AM","u 10","200","15000","654",""
"Dr552","S.6","True","Lucybriate","6/29/2021 2:34:00 PM","u 10","200","13103.45","58",""
"Dr50654","S.9","True","Mary","7/1/2021 1:33:00 PM","u 10","200","19827.59","59",""
"","S.95","True","","","u 9","20","12500","75","S.90"
"Dr471","S.103","True","Sarah","2/22/2023 8:55:00 AM","u 9","20","5000","959",""
"Dr471","S.95","True","Sarah","2/22/2023 9:10:00 AM","u 9","20","14500","965",""
"Dr471","S.103","True","Lucybriate","6/23/2022 7:42:00 AM","u20","4","5000","841",""
"Dr511004","S.99","True","Lucybriate","6/24/2022 8:10:00 AM","u 10","200","20258.62","842",""
"Dr510910","S.103","True","Lucybriate","10/19/2021 7:35:00 AM","u20","4","1034.483","366",""
"Dr384","S.6","True","Mary","7/7/2021 9:30:00 AM","u 10","200","13793.1","76",""
"Dr510842","S.6","True","Sarah","2/23/2023 5:22:00 AM","u 10","200","16810.35","982",""
"Dr594","S.6","True","Lucybriate","1/24/2022 6:54:00 AM","u 10","200","15086.21","558",""
"","S.95","True","","","u20","4","2400","749","S.93"
"Dr594","S.9","True","Lucybriate","1/24/2022 6:54:00 AM","u 10","200","20258.62","559",""
"Dr510794","S.103","True","Sarah","4/30/2022 8:43:00 AM","u 9","20","4568.965","761",""
"Dr510961","S.6","True","Lucybriate","5/27/2022 10:30:00 AM","u 10","200","17000","786",""
"","S.120","True","","","u 8","183","13409.48","83",""
"Dr510961","S.7","True","Mary","4/16/2022 5:56:00 AM","u 10","200","11500","739",""
"Dr510821","S.9","True","Lucybriate","7/9/2021 9:36:00 AM","u 10","200","17241.38","85",""
"Dr510821","S.6","True","Lucybriate","7/9/2021 9:36:00 AM","u 10","200","13103.45","86",""
"","S.35","True","","","u 9","20","5172.414","87","S.90"
"Dr510794","S.103","True","Mary","3/1/2023 8:25:00 AM","u20","4","1077.586","1097",""
"Dr510854","S.9","True","Lucybriate","10/4/2021 8:56:00 AM","u 10","200","21034.48","325",""
"Dr510854","S.6","True","Lucybriate","10/4/2021 8:56:00 AM","u 10","200","14827.59","326",""
"Dr371","S.6","True","Lucybriate","7/10/2021 6:02:00 AM","u 10","200","14224.14","94",""
"Dr510688","S.6","True","Lucybriate","6/14/2022 10:42:00 AM","u 10","200","18362.07","812",""
"Dr510793","S.103","True","Lucybriate","7/10/2021 11:14:00 AM","u 9","20","5603.448","96",""
"Dr434","S.6","True","Lucybriate","7/13/2021 12:35:00 PM","u 10","200","13793.1","98",""
"Dr518","S.9","True","Lucybriate","4/13/2022 7:56:00 AM","u 10","200","25862.07","730",""
"Dr510771","S.103","True","Lucybriate","7/5/2022 9:19:00 AM","u 9","20","3800","874",""
"Dr510771","S.60166","True","Lucybriate","6/24/2022 12:17:00 PM","u 9","20","3740","846",""
"Dr510758","S.6","True","Mary","3/1/2023 7:24:00 AM","u 10","200","19827.59","1096",""
"","S.60166","True","","","u 8","4","933.4914","107","S.93"
"Dr510784","S.60166","True","Lucybriate","9/6/2021 10:20:00 AM","u20","4","905.1724","232",""
"Dr510888","S.103","True","Mugure","9/21/2021 9:43:00 AM","u20","4","1077.586","273",""
"Dr510965","S.60231","True","Lucybriate","4/13/2022 9:28:00 AM","u 9","20","7000","736",""
"Dr510772","S.60185","True","Lucybriate","3/6/2023 12:32:00 PM","u 9","20","1400","1133",""
"Dr510772","S.103","True","Lucybriate","2/22/2023 9:46:00 AM","u 9","20","3800","972",""
"Dr510772","S.60166","True","Lucybriate","3/6/2023 12:32:00 PM","u 9","20","1400","1132",""
"Dr510908","S.103","True","Sarah","3/3/2023 6:51:00 AM","u 9","20","4310.345","1103",""
"Dr510798","S.103","True","Lucybriate","2/21/2023 6:58:00 AM","u 9","20","4741.379","918",""
"Dr510889","S.60185","True","Mugure","9/21/2021 9:43:00 AM","u 9","20","4301.724","274",""
"Dr518","S.6","True","Lucybriate","10/25/2021 8:25:00 AM","u 10","200","15862.07","401",""
"Dr510819","S.7","True","Lucybriate","7/29/2021 6:04:00 AM","u 10","200","12068.97","158",""
"","S.106","True","","","u 7","200","63158","132","S.15"
"Dr140670","S.35","True","Lucybriate","1/14/2022 6:31:00 AM","u 10","200","60000","546",""
"Dr510976","S.103","True","Sarah","2/21/2023 12:23:00 PM","u 9","20","3793.104","944",""
"","S.35","True","","","u 10","200","63158","144","S.15"
"Dr510855","S.6","True","Lucybriate","6/15/2022 1:16:00 PM","u 10","200","17672.41","817",""
"Dr510855","S.9","True","Lucybriate","10/21/2021 11:25:00 AM","u 10","200","19827.59","389",""
"","S.60166","True","","","u 10","200","45500","151","S.15"
"Dr510856","S.60166","True","Mary","8/19/2021 7:47:00 AM","u 10","200","37997","195",""
"Dr510968","S.122","True","Lucybriate","4/30/2022 11:18:00 AM","u 6","1","500","762",""
"Dr510976","S.60166","True","Sarah","2/21/2023 12:05:00 PM","u20","4","862.07","943",""
"Dr510805","S.60166","True","Lucybriate","4/11/2022 12:27:00 PM","u20","4","948.2759","724",""
"Dr510752","S.60166","True","Lucybriate","7/30/2021 8:41:00 AM","u20","4","1000","163",""
"Dr510857","S.35","True","Mugure","7/30/2021 12:07:00 PM","u 9","20","5172.414","164",""
