"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping","discount","PartPerUnit","QuantityToReceive","PriceToReceive","unitofreceivedIn","packzizegrn"
"1012078","18","2/13/2021 12:00:00 AM","LPO1124","","","S.15                ","Drum Empties                                      ","Units     ","1.00","","1.00","900","0.00","900.00","True","","","","","","0.00","False","fulqty","","0","1","1","900","Units     ","1"
"1012079","30","2/13/2021 12:00:00 AM","GRN834","","","S.15                ","Drum Empties                                      ","Units     ","1.00","","","900","0.00","900.00","","","","","","","0.00","False","fulqty","","","1","1","900","Units     ","1"
"1012080","20","2/13/2021 12:00:00 AM","PINV795","          ","","S.15                ","Drum Empties                                      ","Units     ","1.00","","","900","0.00","900.00","","","","","","","0.00","False","fulqty","","","1","1","900","Units     ","1"
"1012081","18","2/13/2021 12:00:00 AM","LPO1125","","","S.15                ","Drum Empties                                      ","Units     ","1.00","","1.00","600","0.00","600.00","True","","","","","","0.00","False","fulqty","","0","1","1","600","Units     ","1"
"1012082","30","2/13/2021 12:00:00 AM","GRN835","","","S.15                ","Drum Empties                                      ","Units     ","1.00","","","600","0.00","600.00","","","","","","","0.00","False","fulqty","","","1","1","600","Units     ","1"
"1012083","20","2/13/2021 12:00:00 AM","PINV796","          ","","S.15                ","Drum Empties                                      ","Units     ","1.00","","","600","0.00","600.00","","","","","","","0.00","False","fulqty","","","1","1","600","Units     ","1"
"1012084","18","2/16/2021 12:00:00 AM","LPO1126","","","S.90                ","Buckets                                           ","bucket    ","14.00","","14.00","415","929.60","6739.60","True","","","","","","16.00","False","fulqty","","0","1","14","415","bucket    ","1"
"1012085","30","2/16/2021 12:00:00 AM","GRN836","","","S.90                ","Buckets                                           ","bucket    ","14.00","","","415","929.60","6739.60","","","","","","","16.00","False","fulqty","","","1","14","415","bucket    ","1"
"1012086","20","2/16/2021 12:00:00 AM","PINV797","          ","","S.90                ","Buckets                                           ","bucket    ","14.00","","","415","929.60","6739.60","","","","","","","16.00","False","fulqty","","","1","14","415","bucket    ","1"
"1012087","18","2/16/2021 12:00:00 AM","LPO1127","","","S.15                ","Drum Empties                                      ","Units     ","6.00","","6.00","900","0.00","5400.00","True","","","","","","0.00","False","fulqty","","0","1","6","900","Units     ","1"
"1012088","30","2/16/2021 12:00:00 AM","GRN837","","","S.15                ","Drum Empties                                      ","Units     ","6.00","","","900","0.00","5400.00","","","","","","","0.00","False","fulqty","","","1","6","900","Units     ","1"
"1012089","18","2/16/2021 12:00:00 AM","LPO1128","","","S.13                ","Kerosene                                          ","litres    ","12000.00","","12000.00","88","78222.22","1056000.00","True","","","","","","8.00","True","fulqty","","0","1","12000","88","litres    ","1"
"1012090","18","2/16/2021 12:00:00 AM","LPO1128","","","S.113               ","Diesel                                            ","litres    ","4000.00","","4000.00","97","28740.74","388000.00","True","","","","","","8.00","True","fulqty","","0","1","4000","97","litres    ","1"
"1012091","30","2/16/2021 12:00:00 AM","GRN838","","","S.13                ","Kerosene                                          ","litres    ","12000.00","","","88","78222.22","1056000.00","","","","","","","8.00","True","fulqty","","","1","12000","88","litres    ","1"
"1012092","30","2/16/2021 12:00:00 AM","GRN838","","","S.113               ","Diesel                                            ","litres    ","4000.00","","","97","28740.74","388000.00","","","","","","","8.00","True","fulqty","","","1","4000","97","litres    ","1"
"1012093","20","2/16/2021 12:00:00 AM","PINV798","          ","","S.13                ","Kerosene                                          ","litres    ","12000.00","","","88","78222.22","1056000.00","","","","","","","8.00","True","fulqty","","","1","12000","88","litres    ","1"
"1012094","20","2/16/2021 12:00:00 AM","PINV798","          ","","S.113               ","Diesel                                            ","litres    ","4000.00","","","97","28740.74","388000.00","","","","","","","8.00","True","fulqty","","","1","4000","97","litres    ","1"
"1012095","20","2/16/2021 12:00:00 AM","PINV799","          ","","S.15                ","Drum Empties                                      ","Units     ","6.00","","","900","0.00","5400.00","","","","","","","0.00","False","fulqty","","","1","6","900","Units     ","1"
