"Date","Documentno","Documenttype","Accountno","Grossamount","JournalNo","Dimension_One","Dimension_Two","Currency","whtax"
"4/12/2022 12:00:00 AM","chq003001           ","53","cr379               ","400000.00","Jv35821             ","","","KES",""
"4/11/2022 12:00:00 AM","LPO1695             ","20","cr190618            ","-54604.80","Jv35824             ","E25       ","          ","KES",""
"3/31/2022 12:00:00 AM","chq002980           ","53","cr190730            ","69000.00","Jv35826             ","","","KES",""
"3/31/2022 12:00:00 AM","chq2980             ","53","cr30600             ","23800.00","Jv35828             ","","","KES",""
"7/7/2022 12:00:00 AM","P0287               ","2","cr513               ","17010.00","Jv37968             ","","","KES",""
"4/12/2022 12:00:00 AM","LPO1697             ","20","cr40608             ","-191052.00","Jv35837             ","E25       ","          ","KES",""
"3/31/2022 12:00:00 AM","1786                ","23","cr513               ","-17010.00","Jv35885             ","01        ","          ","KES","False"
"4/8/2022 12:00:00 AM","Chq002989           ","53","cr513               ","17010.00","Jv35887             ","","","KES",""
"3/31/2022 12:00:00 AM","1787                ","23","cr514               ","-45964.00","Jv35888             ","01        ","          ","KES","False"
"4/8/2022 12:00:00 AM","Chq002992           ","53","cr514               ","45964.00","Jv35890             ","","","KES",""
"4/5/2022 12:00:00 AM","4312                ","0","cr575               ","-50000.00","Jv35891             ","          ","          ","KES",""
"4/8/2022 12:00:00 AM","4312                ","0","cr575               ","50700.00","Jv35892             ","          ","          ","KES",""
"4/8/2022 12:00:00 AM","4313                ","0","cr575               ","-700.00","Jv35893             ","          ","          ","KES",""
"3/26/2022 12:00:00 AM","LPO1699             ","20","cr30600             ","-26000.00","Jv35895             ","E25       ","          ","KES",""
"4/8/2022 12:00:00 AM","Chq002994           ","53","cr190730            ","79200.00","Jv35901             ","","","KES",""
"4/14/2022 12:00:00 AM","Chq003007           ","53","cr371               ","26222.00","Jv35905             ","","","KES",""
"4/1/2022 12:00:00 AM","P0287               ","2","cr575               ","4000.00","Jv35906             ","","","KES",""
"4/14/2022 12:00:00 AM","Chq003006           ","53","cr372               ","123081.00","Jv35916             ","","","KES",""
"4/11/2022 12:00:00 AM","Chq002999           ","53","cr40608             ","191052.00","Jv35922             ","","","KES",""
"4/5/2022 12:00:00 AM","4316                ","0","cr190730            ","7200.00","Jv35935             ","          ","          ","KES",""
"4/11/2022 12:00:00 AM","LPO1696             ","20","cr190733            ","-10000.00","Jv35957             ","E25       ","          ","KES",""
"4/11/2022 12:00:00 AM","P0287               ","2","cr190733            ","10000.00","Jv35958             ","","","KES",""
"4/11/2022 12:00:00 AM","P0287               ","2","cr528               ","88160.00","Jv35960             ","","","KES",""
"4/11/2022 12:00:00 AM","P0287               ","2","cr528               ","1740.00","Jv35966             ","","","KES",""
